time,population,abundance_anomaly
1995-01-01T00:00:00Z,UpperColumbia Spr,-1.1479626
1996-01-01T00:00:00Z,UpperColumbia Spr,-1.0907305
1997-01-01T00:00:00Z,UpperColumbia Spr,-0.925504
1998-01-01T00:00:00Z,UpperColumbia Spr,-1.0867492
1999-01-01T00:00:00Z,UpperColumbia Spr,-1.0947119
2000-01-01T00:00:00Z,UpperColumbia Spr,-0.8593139
2001-01-01T00:00:00Z,UpperColumbia Spr,0.29776928
2002-01-01T00:00:00Z,UpperColumbia Spr,-0.58111626
2003-01-01T00:00:00Z,UpperColumbia Spr,-0.89066714
2004-01-01T00:00:00Z,UpperColumbia Spr,-0.4507267
2005-01-01T00:00:00Z,UpperColumbia Spr,-0.70652914
2006-01-01T00:00:00Z,UpperColumbia Spr,-0.8294537
2007-01-01T00:00:00Z,UpperColumbia Spr,-0.86030924
2008-01-01T00:00:00Z,UpperColumbia Spr,-0.82447696
2009-01-01T00:00:00Z,UpperColumbia Spr,-0.6124695
2010-01-01T00:00:00Z,UpperColumbia Spr,-0.4671498
2011-01-01T00:00:00Z,UpperColumbia Spr,-0.107334256
2012-01-01T00:00:00Z,UpperColumbia Spr,-0.47361952
2013-01-01T00:00:00Z,UpperColumbia Spr,-0.67965496
2014-01-01T00:00:00Z,UpperColumbia Spr,-0.41588977
2015-01-01T00:00:00Z,UpperColumbia Spr,-0.4218618
2016-01-01T00:00:00Z,UpperColumbia Spr,-0.55673045
2017-01-01T00:00:00Z,UpperColumbia Spr,-0.91007626
2018-01-01T00:00:00Z,UpperColumbia Spr,-0.9055972
