time,nph_area
1984-06-01T00:00:00Z,5.6805925
1984-07-01T00:00:00Z,4.0685067
1984-08-01T00:00:00Z,4.2508936
1984-09-01T00:00:00Z,1.2245636
1984-10-01T00:00:00Z,2.764486
1984-11-01T00:00:00Z,3.900112
1984-12-01T00:00:00Z,3.385067
1985-01-01T00:00:00Z,1.1504897
1985-02-01T00:00:00Z,4.9893565
1985-03-01T00:00:00Z,6.584165
1985-04-01T00:00:00Z,5.6925426
1985-05-01T00:00:00Z,5.3347445
1985-06-01T00:00:00Z,4.1611104
1985-07-01T00:00:00Z,4.5882883
1985-08-01T00:00:00Z,4.456852
1985-09-01T00:00:00Z,3.2628665
1985-10-01T00:00:00Z,3.8871133
1985-11-01T00:00:00Z,0.8457685
1985-12-01T00:00:00Z,0.81701034
1986-01-01T00:00:00Z,0.032550443
1986-02-01T00:00:00Z,0.022184335
1986-03-01T00:00:00Z,0.38560796
1986-04-01T00:00:00Z,6.1669736
1986-05-01T00:00:00Z,3.5765705
1986-06-01T00:00:00Z,3.8212142
1986-07-01T00:00:00Z,5.433209
1986-08-01T00:00:00Z,3.5016925
1986-09-01T00:00:00Z,2.425386
1986-10-01T00:00:00Z,0.0
1986-11-01T00:00:00Z,4.7239995
1986-12-01T00:00:00Z,0.9156561
1987-01-01T00:00:00Z,3.044875
1987-02-01T00:00:00Z,0.0
1987-03-01T00:00:00Z,0.021801526
1987-04-01T00:00:00Z,4.2271667
1987-05-01T00:00:00Z,3.935888
1987-06-01T00:00:00Z,5.3214145
1987-07-01T00:00:00Z,4.225218
1987-08-01T00:00:00Z,3.0320423
1987-09-01T00:00:00Z,3.0717561
1987-10-01T00:00:00Z,1.9336674
1987-11-01T00:00:00Z,3.3439293
1987-12-01T00:00:00Z,3.2421799
1988-01-01T00:00:00Z,1.4146376
1988-02-01T00:00:00Z,2.95621
1988-03-01T00:00:00Z,6.2629356
1988-04-01T00:00:00Z,3.729794
1988-05-01T00:00:00Z,5.8025384
1988-06-01T00:00:00Z,5.606941
1988-07-01T00:00:00Z,5.015535
1988-08-01T00:00:00Z,4.2868967
1988-09-01T00:00:00Z,3.498218
1988-10-01T00:00:00Z,0.16522226
1988-11-01T00:00:00Z,4.345639
1988-12-01T00:00:00Z,4.5604997
1989-01-01T00:00:00Z,6.8783164
1989-02-01T00:00:00Z,4.376984
1989-03-01T00:00:00Z,0.6148004
1989-04-01T00:00:00Z,3.5326989
1989-05-01T00:00:00Z,6.3880987
1989-06-01T00:00:00Z,4.9125676
1989-07-01T00:00:00Z,6.1249013
1989-08-01T00:00:00Z,4.785868
1989-09-01T00:00:00Z,2.5940356
1989-10-01T00:00:00Z,2.2442951
1989-11-01T00:00:00Z,2.012629
1989-12-01T00:00:00Z,1.7623048
1990-01-01T00:00:00Z,4.330973
1990-02-01T00:00:00Z,5.702829
1990-03-01T00:00:00Z,4.0565863
1990-04-01T00:00:00Z,2.7864017
1990-05-01T00:00:00Z,5.4921274
1990-06-01T00:00:00Z,5.9877987
1990-07-01T00:00:00Z,4.1713743
1990-08-01T00:00:00Z,4.086731
1990-09-01T00:00:00Z,3.4513898
1990-10-01T00:00:00Z,4.7635975
1990-11-01T00:00:00Z,4.9853287
1990-12-01T00:00:00Z,4.7758865
1991-01-01T00:00:00Z,1.5237759
1991-02-01T00:00:00Z,0.45486844
1991-03-01T00:00:00Z,4.8269114
1991-04-01T00:00:00Z,6.21002
1991-05-01T00:00:00Z,6.004285
1991-06-01T00:00:00Z,5.5399833
1991-07-01T00:00:00Z,4.885111
1991-08-01T00:00:00Z,4.8823886
1991-09-01T00:00:00Z,1.5715007
1991-10-01T00:00:00Z,1.6333945
1991-11-01T00:00:00Z,3.1021032
1991-12-01T00:00:00Z,2.6785767
1992-01-01T00:00:00Z,0.49471635
1992-02-01T00:00:00Z,0.033411674
1992-03-01T00:00:00Z,2.1467314
1992-04-01T00:00:00Z,0.82366663
1992-05-01T00:00:00Z,0.47169498
1992-06-01T00:00:00Z,4.0116463
1992-07-01T00:00:00Z,4.3283696
1992-08-01T00:00:00Z,5.0290785
1992-09-01T00:00:00Z,2.5511017
