time,location,dissolved_oxygen
2018-08-01T00:00:00Z,CalCOFI 90.90,NaN
2018-09-01T00:00:00Z,CalCOFI 90.90,NaN
2018-10-01T00:00:00Z,CalCOFI 90.90,3.7064
2018-11-01T00:00:00Z,CalCOFI 90.90,NaN
2018-12-01T00:00:00Z,CalCOFI 90.90,NaN
2019-01-01T00:00:00Z,CalCOFI 90.90,NaN
2019-02-01T00:00:00Z,CalCOFI 90.90,4.0102
2019-03-01T00:00:00Z,CalCOFI 90.90,NaN
2019-04-01T00:00:00Z,CalCOFI 90.90,4.2594
2019-05-01T00:00:00Z,CalCOFI 90.90,NaN
2019-06-01T00:00:00Z,CalCOFI 90.90,NaN
2019-07-01T00:00:00Z,CalCOFI 90.90,4.3749
2019-08-01T00:00:00Z,CalCOFI 90.90,NaN
2019-09-01T00:00:00Z,CalCOFI 90.90,NaN
2019-10-01T00:00:00Z,CalCOFI 90.90,NaN
2019-11-01T00:00:00Z,CalCOFI 90.90,3.4353
2019-12-01T00:00:00Z,CalCOFI 90.90,NaN
2020-01-01T00:00:00Z,CalCOFI 90.90,3.0144
2020-02-01T00:00:00Z,CalCOFI 90.90,NaN
2020-03-01T00:00:00Z,CalCOFI 90.90,NaN
2020-04-01T00:00:00Z,CalCOFI 90.90,NaN
2020-05-01T00:00:00Z,CalCOFI 90.90,NaN
2020-06-01T00:00:00Z,CalCOFI 90.90,NaN
2020-07-01T00:00:00Z,CalCOFI 90.90,4.4621
2020-08-01T00:00:00Z,CalCOFI 90.90,NaN
2020-09-01T00:00:00Z,CalCOFI 90.90,NaN
2020-10-01T00:00:00Z,CalCOFI 90.90,NaN
2020-11-01T00:00:00Z,CalCOFI 90.90,NaN
2020-12-01T00:00:00Z,CalCOFI 90.90,NaN
1950-01-01T00:00:00Z,CalCOFI 93.30,NaN
1950-02-01T00:00:00Z,CalCOFI 93.30,2.19
1950-03-01T00:00:00Z,CalCOFI 93.30,2.68
1950-04-01T00:00:00Z,CalCOFI 93.30,2.37
1950-05-01T00:00:00Z,CalCOFI 93.30,2.35
1950-06-01T00:00:00Z,CalCOFI 93.30,2.2
1950-07-01T00:00:00Z,CalCOFI 93.30,2.93
1950-08-01T00:00:00Z,CalCOFI 93.30,NaN
1950-09-01T00:00:00Z,CalCOFI 93.30,NaN
1950-10-01T00:00:00Z,CalCOFI 93.30,NaN
1950-11-01T00:00:00Z,CalCOFI 93.30,NaN
1950-12-01T00:00:00Z,CalCOFI 93.30,NaN
1951-01-01T00:00:00Z,CalCOFI 93.30,2.54
1951-02-01T00:00:00Z,CalCOFI 93.30,2.39
1951-03-01T00:00:00Z,CalCOFI 93.30,2.4
1951-04-01T00:00:00Z,CalCOFI 93.30,2.65
1951-05-01T00:00:00Z,CalCOFI 93.30,2.08
1951-06-01T00:00:00Z,CalCOFI 93.30,NaN
1951-07-01T00:00:00Z,CalCOFI 93.30,NaN
1951-08-01T00:00:00Z,CalCOFI 93.30,2.01
1951-09-01T00:00:00Z,CalCOFI 93.30,2.68
1951-10-01T00:00:00Z,CalCOFI 93.30,NaN
