time,productivity_anomaly,species_cohort
2003-01-01T00:00:00Z,0.158,Cassins auklet productivity anomaly (Cen CC - SEFI)
2004-01-01T00:00:00Z,-0.102,Cassins auklet productivity anomaly (Cen CC - SEFI)
2005-01-01T00:00:00Z,-0.742,Cassins auklet productivity anomaly (Cen CC - SEFI)
2006-01-01T00:00:00Z,-0.742,Cassins auklet productivity anomaly (Cen CC - SEFI)
2007-01-01T00:00:00Z,-0.382,Cassins auklet productivity anomaly (Cen CC - SEFI)
2008-01-01T00:00:00Z,-0.102,Cassins auklet productivity anomaly (Cen CC - SEFI)
2009-01-01T00:00:00Z,0.188,Cassins auklet productivity anomaly (Cen CC - SEFI)
2010-01-01T00:00:00Z,0.878,Cassins auklet productivity anomaly (Cen CC - SEFI)
2011-01-01T00:00:00Z,0.448,Cassins auklet productivity anomaly (Cen CC - SEFI)
2012-01-01T00:00:00Z,0.488,Cassins auklet productivity anomaly (Cen CC - SEFI)
2013-01-01T00:00:00Z,0.398,Cassins auklet productivity anomaly (Cen CC - SEFI)
2014-01-01T00:00:00Z,0.238,Cassins auklet productivity anomaly (Cen CC - SEFI)
2015-01-01T00:00:00Z,0.158,Cassins auklet productivity anomaly (Cen CC - SEFI)
2016-01-01T00:00:00Z,0.158,Cassins auklet productivity anomaly (Cen CC - SEFI)
2017-01-01T00:00:00Z,0.188,Cassins auklet productivity anomaly (Cen CC - SEFI)
2018-01-01T00:00:00Z,0.098,Cassins auklet productivity anomaly (Cen CC - SEFI)
2019-01-01T00:00:00Z,-0.612,Cassins auklet productivity anomaly (Cen CC - SEFI)
1972-01-01T00:00:00Z,0.065,Common murre productivity anomaly (Ce CC - SEFI)
1973-01-01T00:00:00Z,0.065,Common murre productivity anomaly (Ce CC - SEFI)
1974-01-01T00:00:00Z,0.195,Common murre productivity anomaly (Ce CC - SEFI)
1975-01-01T00:00:00Z,0.185,Common murre productivity anomaly (Ce CC - SEFI)
1976-01-01T00:00:00Z,0.035,Common murre productivity anomaly (Ce CC - SEFI)
1977-01-01T00:00:00Z,0.095,Common murre productivity anomaly (Ce CC - SEFI)
1978-01-01T00:00:00Z,-0.045,Common murre productivity anomaly (Ce CC - SEFI)
1979-01-01T00:00:00Z,0.135,Common murre productivity anomaly (Ce CC - SEFI)
1980-01-01T00:00:00Z,0.185,Common murre productivity anomaly (Ce CC - SEFI)
1981-01-01T00:00:00Z,0.175,Common murre productivity anomaly (Ce CC - SEFI)
1982-01-01T00:00:00Z,0.185,Common murre productivity anomaly (Ce CC - SEFI)
1983-01-01T00:00:00Z,-0.675,Common murre productivity anomaly (Ce CC - SEFI)
1984-01-01T00:00:00Z,0.015,Common murre productivity anomaly (Ce CC - SEFI)
1985-01-01T00:00:00Z,0.085,Common murre productivity anomaly (Ce CC - SEFI)
1986-01-01T00:00:00Z,0.015,Common murre productivity anomaly (Ce CC - SEFI)
1987-01-01T00:00:00Z,0.135,Common murre productivity anomaly (Ce CC - SEFI)
1988-01-01T00:00:00Z,0.175,Common murre productivity anomaly (Ce CC - SEFI)
1989-01-01T00:00:00Z,0.135,Common murre productivity anomaly (Ce CC - SEFI)
1990-01-01T00:00:00Z,0.105,Common murre productivity anomaly (Ce CC - SEFI)
1991-01-01T00:00:00Z,0.165,Common murre productivity anomaly (Ce CC - SEFI)
1992-01-01T00:00:00Z,-0.635,Common murre productivity anomaly (Ce CC - SEFI)
