time,beuti,latitude
1993-04-01T00:00:00Z,-3.822,45
1993-04-01T00:00:00Z,11.304,39
1993-04-01T00:00:00Z,0.262,33
1993-05-01T00:00:00Z,-0.029,45
1993-05-01T00:00:00Z,4.073,39
1993-05-01T00:00:00Z,0.093,33
1993-06-01T00:00:00Z,0.082,45
1993-06-01T00:00:00Z,12.286,39
1993-06-01T00:00:00Z,0.016,33
1993-07-01T00:00:00Z,0.182,45
1993-07-01T00:00:00Z,17.71,39
1993-07-01T00:00:00Z,0.004,33
1993-08-01T00:00:00Z,0.309,45
1993-08-01T00:00:00Z,6.462,39
1993-08-01T00:00:00Z,0.008,33
1993-09-01T00:00:00Z,0.888,45
1993-09-01T00:00:00Z,6.922,39
1993-09-01T00:00:00Z,0.006,33
1993-10-01T00:00:00Z,0.426,45
1993-10-01T00:00:00Z,1.455,39
1993-10-01T00:00:00Z,0.002,33
1993-11-01T00:00:00Z,1.123,45
1993-11-01T00:00:00Z,4.308,39
1993-11-01T00:00:00Z,0.014,33
1993-12-01T00:00:00Z,-7.233,45
1993-12-01T00:00:00Z,0.148,39
1993-12-01T00:00:00Z,0.195,33
1994-01-01T00:00:00Z,-2.582,45
1994-01-01T00:00:00Z,1.708,39
1994-01-01T00:00:00Z,0.287,33
1994-02-01T00:00:00Z,-4.906,45
1994-02-01T00:00:00Z,1.476,39
1994-02-01T00:00:00Z,0.282,33
1994-03-01T00:00:00Z,0.318,45
1994-03-01T00:00:00Z,4.963,39
1994-03-01T00:00:00Z,0.463,33
1994-04-01T00:00:00Z,1.092,45
1994-04-01T00:00:00Z,18.896,39
1994-04-01T00:00:00Z,1.056,33
1994-05-01T00:00:00Z,0.73,45
1994-05-01T00:00:00Z,16.045,39
1994-05-01T00:00:00Z,0.487,33
1994-06-01T00:00:00Z,0.12,45
1994-06-01T00:00:00Z,19.103,39
1994-06-01T00:00:00Z,0.063,33
1994-07-01T00:00:00Z,1.039,45
1994-07-01T00:00:00Z,15.015,39
1994-07-01T00:00:00Z,0.017,33
1994-08-01T00:00:00Z,0.068,45
1994-08-01T00:00:00Z,6.512,39
1994-08-01T00:00:00Z,0.006,33
1994-09-01T00:00:00Z,0.045,45
1994-09-01T00:00:00Z,1.954,39
1994-09-01T00:00:00Z,0.004,33
1994-10-01T00:00:00Z,0.285,45
1994-10-01T00:00:00Z,8.432,39
1994-10-01T00:00:00Z,0.01,33
1994-11-01T00:00:00Z,-1.412,45
1994-11-01T00:00:00Z,4.973,39
1994-11-01T00:00:00Z,0.29,33
1994-12-01T00:00:00Z,-9.285,45
1994-12-01T00:00:00Z,0.57,39
1994-12-01T00:00:00Z,0.638,33
1995-01-01T00:00:00Z,-7.616,45
1995-01-01T00:00:00Z,-15.855,39
1995-01-01T00:00:00Z,0.627,33
1995-02-01T00:00:00Z,-2.708,45
1995-02-01T00:00:00Z,2.519,39
1995-02-01T00:00:00Z,0.237,33
1995-03-01T00:00:00Z,-3.258,45
1995-03-01T00:00:00Z,0.792,39
1995-03-01T00:00:00Z,0.265,33
1995-04-01T00:00:00Z,2.354,45
1995-04-01T00:00:00Z,16.777,39
1995-04-01T00:00:00Z,1.511,33
1995-05-01T00:00:00Z,1.516,45
1995-05-01T00:00:00Z,17.695,39
1995-05-01T00:00:00Z,1.016,33
1995-06-01T00:00:00Z,0.753,45
1995-06-01T00:00:00Z,14.565,39
1995-06-01T00:00:00Z,0.334,33
1995-07-01T00:00:00Z,0.568,45
1995-07-01T00:00:00Z,4.65,39
1995-07-01T00:00:00Z,0.033,33
1995-08-01T00:00:00Z,0.691,45
1995-08-01T00:00:00Z,5.868,39
1995-08-01T00:00:00Z,0.005,33
1995-09-01T00:00:00Z,0.072,45
1995-09-01T00:00:00Z,0.743,39
1995-09-01T00:00:00Z,0.006,33
1995-10-01T00:00:00Z,0.05,45
1995-10-01T00:00:00Z,2.536,39
1995-10-01T00:00:00Z,0.005,33
1995-11-01T00:00:00Z,-0.968,45
1995-11-01T00:00:00Z,2.247,39
1995-11-01T00:00:00Z,0.015,33
1995-12-01T00:00:00Z,-1.355,45
1995-12-01T00:00:00Z,-0.59,39
1995-12-01T00:00:00Z,0.153,33
1996-01-01T00:00:00Z,0.274,45
1996-01-01T00:00:00Z,3.307,39
1996-01-01T00:00:00Z,0.571,33
1996-02-01T00:00:00Z,-2.839,45
1996-02-01T00:00:00Z,-1.002,39
1996-02-01T00:00:00Z,0.551,33
1996-03-01T00:00:00Z,-0.425,45
1996-03-01T00:00:00Z,6.644,39
1996-03-01T00:00:00Z,0.514,33
1996-04-01T00:00:00Z,-2.793,45
1996-04-01T00:00:00Z,7.183,39
1996-04-01T00:00:00Z,0.506,33
1996-05-01T00:00:00Z,0.679,45
1996-05-01T00:00:00Z,26.232,39
1996-05-01T00:00:00Z,0.042,33
1996-06-01T00:00:00Z,0.552,45
1996-06-01T00:00:00Z,32.898,39
1996-06-01T00:00:00Z,0.064,33
1996-07-01T00:00:00Z,0.922,45
1996-07-01T00:00:00Z,15.877,39
1996-07-01T00:00:00Z,0.01,33
1996-08-01T00:00:00Z,2.209,45
1996-08-01T00:00:00Z,13.986,39
1996-08-01T00:00:00Z,0.007,33
1996-09-01T00:00:00Z,0.255,45
1996-09-01T00:00:00Z,5.366,39
1996-09-01T00:00:00Z,0.002,33
1996-10-01T00:00:00Z,0.194,45
1996-10-01T00:00:00Z,4.477,39
1996-10-01T00:00:00Z,0.023,33
1996-11-01T00:00:00Z,0.119,45
1996-11-01T00:00:00Z,5.136,39
1996-11-01T00:00:00Z,0.176,33
1996-12-01T00:00:00Z,-4.601,45
1996-12-01T00:00:00Z,-2.138,39
1996-12-01T00:00:00Z,0.137,33
1997-01-01T00:00:00Z,-1.96,45
1997-01-01T00:00:00Z,0.571,39
1997-01-01T00:00:00Z,0.413,33
1997-02-01T00:00:00Z,1.86,45
1997-02-01T00:00:00Z,15.522,39
1997-02-01T00:00:00Z,1.207,33
1997-03-01T00:00:00Z,-4.037,45
1997-03-01T00:00:00Z,16.252,39
1997-03-01T00:00:00Z,0.331,33
1997-04-01T00:00:00Z,1.749,45
