time,upwelling_index,nobs,stdev
1981-01-01T00:00:00Z,-177.2686,124,404.48
1981-02-01T00:00:00Z,-15.1072,112,90.694
1981-03-01T00:00:00Z,55.8387,124,155.11
1981-04-01T00:00:00Z,110.3548,120,137.41
1981-05-01T00:00:00Z,119.3568,124,132.289
1981-06-01T00:00:00Z,165.5047,120,207.828
1981-07-01T00:00:00Z,176.9494,124,102.709
1981-08-01T00:00:00Z,101.987,124,109.712
1981-09-01T00:00:00Z,59.876,120,84.575
1981-10-01T00:00:00Z,20.6334,124,95.702
1981-11-01T00:00:00Z,-40.7962,120,189.804
1981-12-01T00:00:00Z,-79.1472,124,170.038
1982-01-01T00:00:00Z,35.517,124,123.447
1982-02-01T00:00:00Z,-29.935,112,188.832
1982-03-01T00:00:00Z,-33.3213,124,202.857
1982-04-01T00:00:00Z,4.9189,120,200.055
1982-05-01T00:00:00Z,196.9059,124,163.04
1982-06-01T00:00:00Z,56.0071,120,85.916
1982-07-01T00:00:00Z,85.3937,124,96.548
1982-08-01T00:00:00Z,47.3868,124,43.042
1982-09-01T00:00:00Z,96.2645,120,103.201
1982-10-01T00:00:00Z,-18.347,124,170.122
1982-11-01T00:00:00Z,-10.0375,120,103.092
1982-12-01T00:00:00Z,-76.6802,124,299.637
1983-01-01T00:00:00Z,-151.1493,124,322.401
1983-02-01T00:00:00Z,-148.7766,112,196.651
1983-03-01T00:00:00Z,-106.3866,124,171.062
1983-04-01T00:00:00Z,42.5853,120,107.879
1983-05-01T00:00:00Z,81.6358,124,98.483
1983-06-01T00:00:00Z,122.6472,120,109.583
1983-07-01T00:00:00Z,104.5383,124,115.679
1983-08-01T00:00:00Z,62.7014,124,62.744
1983-09-01T00:00:00Z,104.8358,120,88.602
1983-10-01T00:00:00Z,14.9652,124,42.75
1983-11-01T00:00:00Z,-77.6566,120,206.559
1983-12-01T00:00:00Z,-45.3993,124,147.934
1984-01-01T00:00:00Z,33.3553,124,53.576
1984-02-01T00:00:00Z,-15.6308,116,72.557
1984-03-01T00:00:00Z,23.4889,124,91.778
1984-04-01T00:00:00Z,67.4451,120,116.88
1984-05-01T00:00:00Z,70.5665,124,108.983
1984-06-01T00:00:00Z,172.5332,120,145.67
1984-07-01T00:00:00Z,165.9213,124,118.545
1984-08-01T00:00:00Z,73.4897,124,60.376
1984-09-01T00:00:00Z,94.4551,120,76.983
1984-10-01T00:00:00Z,42.4119,124,92.97
1984-11-01T00:00:00Z,-60.5195,120,163.285
1984-12-01T00:00:00Z,19.3715,124,86.199
1985-01-01T00:00:00Z,13.7696,124,56.396
1985-02-01T00:00:00Z,95.3889,112,147.249
1985-03-01T00:00:00Z,50.6286,124,155.582
1985-04-01T00:00:00Z,60.5853,120,83.483
1985-05-01T00:00:00Z,60.0984,124,88.082
1985-06-01T00:00:00Z,125.0941,120,127.702
1985-07-01T00:00:00Z,83.4915,124,93.19
1985-08-01T00:00:00Z,70.6666,124,72.027
1985-09-01T00:00:00Z,60.5964,120,69.044
1985-10-01T00:00:00Z,56.1736,124,85.665
1985-11-01T00:00:00Z,25.8979,120,81.994
1985-12-01T00:00:00Z,-45.8026,124,215.635
1986-01-01T00:00:00Z,-122.8947,124,153.545
1986-02-01T00:00:00Z,-83.9912,112,177.668
1986-03-01T00:00:00Z,-23.1609,124,251.947
1986-04-01T00:00:00Z,87.3898,120,103.17
1986-05-01T00:00:00Z,60.2376,124,97.221
1986-06-01T00:00:00Z,79.9384,120,108.081
1986-07-01T00:00:00Z,128.2246,124,101.979
1986-08-01T00:00:00Z,88.6037,124,75.959
1986-09-01T00:00:00Z,47.9876,120,62.548
1986-10-01T00:00:00Z,34.1803,124,120.068
1986-11-01T00:00:00Z,47.8276,120,78.035
1986-12-01T00:00:00Z,-40.9139,124,115.55
1987-01-01T00:00:00Z,-44.9952,124,157.122
1987-02-01T00:00:00Z,26.843,112,239.896
1987-03-01T00:00:00Z,-77.4389,124,259.826
1987-04-01T00:00:00Z,38.8817,120,48.318
1987-05-01T00:00:00Z,100.8079,124,117.047
1987-06-01T00:00:00Z,94.8188,120,88.461
1987-07-01T00:00:00Z,89.4469,124,123.412
1987-08-01T00:00:00Z,110.1387,124,85.973
1987-09-01T00:00:00Z,77.1263,120,94.24
1987-10-01T00:00:00Z,32.0538,122,53.361
1987-11-01T00:00:00Z,-31.318,120,139.961
1987-12-01T00:00:00Z,-48.9991,124,267.412
1988-01-01T00:00:00Z,-56.7754,124,165.695
1988-02-01T00:00:00Z,64.5096,95,86.81
1988-03-01T00:00:00Z,63.5848,124,84.04
1988-04-01T00:00:00Z,21.554,120,73.272
1988-05-01T00:00:00Z,46.8701,124,110.05
1988-06-01T00:00:00Z,83.0838,120,93.944
1988-07-01T00:00:00Z,117.4173,124,88.833
1988-08-01T00:00:00Z,98.3895,124,79.555
1988-09-01T00:00:00Z,96.8269,120,101.975
1988-10-01T00:00:00Z,36.6132,124,69.72
1988-11-01T00:00:00Z,-16.3663,120,86.018
1988-12-01T00:00:00Z,53.5713,124,104.864
1989-01-01T00:00:00Z,43.4233,124,42.88
1989-02-01T00:00:00Z,20.9377,112,74.526
1989-03-01T00:00:00Z,-60.3502,124,134.275
1989-04-01T00:00:00Z,31.9483,120,70.971
1989-05-01T00:00:00Z,79.9911,124,72.075
1989-06-01T00:00:00Z,85.6068,120,119.929
1989-07-01T00:00:00Z,143.6646,124,119.656
1989-08-01T00:00:00Z,112.0781,124,61.139
1989-09-01T00:00:00Z,51.1964,120,63.685
1989-10-01T00:00:00Z,31.9237,124,96.055
1989-11-01T00:00:00Z,45.4226,120,59.973
1989-12-01T00:00:00Z,31.3082,124,68.532
1990-01-01T00:00:00Z,15.8478,124,124.637
1990-02-01T00:00:00Z,27.1459,112,98.644
1990-03-01T00:00:00Z,24.3122,124,56.055
1990-04-01T00:00:00Z,55.6741,120,80.435
1990-05-01T00:00:00Z,85.2798,124,150.067
1990-06-01T00:00:00Z,74.7587,120,79.966
1990-07-01T00:00:00Z,74.439,124,70.238
1990-08-01T00:00:00Z,37.9325,124,115.782
