time,cuti,latitude
1996-05-01T00:00:00Z,0.388,33
1996-06-01T00:00:00Z,0.551,45
1996-06-01T00:00:00Z,2.06,39
1996-06-01T00:00:00Z,0.347,33
1996-07-01T00:00:00Z,0.623,45
1996-07-01T00:00:00Z,1.149,39
1996-07-01T00:00:00Z,0.195,33
1996-08-01T00:00:00Z,0.395,45
1996-08-01T00:00:00Z,1.315,39
1996-08-01T00:00:00Z,0.231,33
1996-09-01T00:00:00Z,0.267,45
1996-09-01T00:00:00Z,0.693,39
1996-09-01T00:00:00Z,0.229,33
1996-10-01T00:00:00Z,0.134,45
1996-10-01T00:00:00Z,0.814,39
1996-10-01T00:00:00Z,0.399,33
1996-11-01T00:00:00Z,0.097,45
1996-11-01T00:00:00Z,0.654,39
1996-11-01T00:00:00Z,0.352,33
1996-12-01T00:00:00Z,-0.591,45
1996-12-01T00:00:00Z,-0.353,39
1996-12-01T00:00:00Z,0.139,33
1997-01-01T00:00:00Z,-0.194,45
1997-01-01T00:00:00Z,0.197,39
1997-01-01T00:00:00Z,0.299,33
1997-02-01T00:00:00Z,0.185,45
1997-02-01T00:00:00Z,1.277,39
1997-02-01T00:00:00Z,0.637,33
1997-03-01T00:00:00Z,-0.285,45
1997-03-01T00:00:00Z,1.101,39
1997-03-01T00:00:00Z,0.245,33
1997-04-01T00:00:00Z,0.119,45
1997-04-01T00:00:00Z,1.624,39
1997-04-01T00:00:00Z,0.593,33
1997-05-01T00:00:00Z,0.148,45
1997-05-01T00:00:00Z,0.522,39
1997-05-01T00:00:00Z,0.24,33
1997-06-01T00:00:00Z,0.33,45
1997-06-01T00:00:00Z,1.8,39
1997-06-01T00:00:00Z,0.387,33
1997-07-01T00:00:00Z,0.56,45
1997-07-01T00:00:00Z,1.108,39
1997-07-01T00:00:00Z,0.194,33
1997-08-01T00:00:00Z,0.135,45
1997-08-01T00:00:00Z,0.372,39
1997-08-01T00:00:00Z,0.261,33
1997-09-01T00:00:00Z,-0.08,45
1997-09-01T00:00:00Z,0.672,39
1997-09-01T00:00:00Z,0.312,33
1997-10-01T00:00:00Z,-0.152,45
1997-10-01T00:00:00Z,0.855,39
1997-10-01T00:00:00Z,0.381,33
1997-11-01T00:00:00Z,-0.467,45
1997-11-01T00:00:00Z,-0.09,39
1997-11-01T00:00:00Z,0.096,33
1997-12-01T00:00:00Z,-0.132,45
1997-12-01T00:00:00Z,0.359,39
1997-12-01T00:00:00Z,0.154,33
1998-01-01T00:00:00Z,-0.952,45
1998-01-01T00:00:00Z,-0.616,39
1998-01-01T00:00:00Z,0.356,33
1998-02-01T00:00:00Z,-0.982,45
1998-02-01T00:00:00Z,-0.14,39
1998-02-01T00:00:00Z,0.532,33
1998-03-01T00:00:00Z,0.076,45
1998-03-01T00:00:00Z,0.976,39
1998-03-01T00:00:00Z,0.555,33
1998-04-01T00:00:00Z,0.18,45
1998-04-01T00:00:00Z,1.1,39
1998-04-01T00:00:00Z,0.353,33
1998-05-01T00:00:00Z,0.341,45
1998-05-01T00:00:00Z,0.561,39
1998-05-01T00:00:00Z,0.334,33
1998-06-01T00:00:00Z,0.527,45
1998-06-01T00:00:00Z,1.384,39
