time,social_vulnerability_index,location
2009-01-01T00:00:00Z,0.93,"Tillamook, OR"
2014-01-01T00:00:00Z,-0.60291,"Tillamook, OR"
2017-01-01T00:00:00Z,NA,"Tillamook, OR"
2009-01-01T00:00:00Z,-2.01,"Tokeland, WA"
2014-01-01T00:00:00Z,3.75441,"Tokeland, WA"
2017-01-01T00:00:00Z,1.083,"Tokeland, WA"
2009-01-01T00:00:00Z,-4.93,"Tomales, CA"
2014-01-01T00:00:00Z,-0.23808000000000001,"Tomales, CA"
2017-01-01T00:00:00Z,NA,"Tomales, CA"
2009-01-01T00:00:00Z,-0.81,"Trinidad, CA"
2014-01-01T00:00:00Z,-3.42768,"Trinidad, CA"
2017-01-01T00:00:00Z,-3.401,"Trinidad, CA"
2009-01-01T00:00:00Z,7.83,"Westport, WA"
2014-01-01T00:00:00Z,3.4118,"Westport, WA"
2017-01-01T00:00:00Z,3.403,"Westport, WA"
2009-01-01T00:00:00Z,1.5,"Winchester Bay, OR"
2014-01-01T00:00:00Z,1.17718,"Winchester Bay, OR"
2017-01-01T00:00:00Z,1.029,"Winchester Bay, OR"
2009-01-01T00:00:00Z,0.8,"Yachats, OR"
2014-01-01T00:00:00Z,2.16459,"Yachats, OR"
