time,location,aragonite_saturation
2002-05-01T00:00:00Z,NH05,0.94440514
2002-06-01T00:00:00Z,NH05,0.6032091
2002-07-01T00:00:00Z,NH05,0.4761976
2002-08-01T00:00:00Z,NH05,NaN
2002-09-01T00:00:00Z,NH05,0.8290102
2002-10-01T00:00:00Z,NH05,NaN
2002-11-01T00:00:00Z,NH05,NaN
2002-12-01T00:00:00Z,NH05,1.6808348
2003-01-01T00:00:00Z,NH05,NaN
2003-02-01T00:00:00Z,NH05,1.5627077
2003-03-01T00:00:00Z,NH05,NaN
2003-04-01T00:00:00Z,NH05,1.7780721
2003-05-01T00:00:00Z,NH05,NaN
2003-06-01T00:00:00Z,NH05,NaN
2003-07-01T00:00:00Z,NH05,0.8559865
2003-08-01T00:00:00Z,NH05,NaN
2003-09-01T00:00:00Z,NH05,0.63382375
2003-10-01T00:00:00Z,NH05,NaN
2003-11-01T00:00:00Z,NH05,NaN
2003-12-01T00:00:00Z,NH05,NaN
2004-01-01T00:00:00Z,NH05,NaN
2004-02-01T00:00:00Z,NH05,NaN
2004-03-01T00:00:00Z,NH05,NaN
2004-04-01T00:00:00Z,NH05,NaN
2004-05-01T00:00:00Z,NH05,NaN
2004-06-01T00:00:00Z,NH05,0.7571491
2004-07-01T00:00:00Z,NH05,0.5832173
2004-08-01T00:00:00Z,NH05,0.86427695
2004-09-01T00:00:00Z,NH05,0.71922004
2004-10-01T00:00:00Z,NH05,NaN
2004-11-01T00:00:00Z,NH05,NaN
2004-12-01T00:00:00Z,NH05,NaN
2005-01-01T00:00:00Z,NH05,NaN
2005-02-01T00:00:00Z,NH05,NaN
2005-03-01T00:00:00Z,NH05,NaN
2005-04-01T00:00:00Z,NH05,NaN
2005-05-01T00:00:00Z,NH05,NaN
2005-06-01T00:00:00Z,NH05,1.516596
2005-07-01T00:00:00Z,NH05,NaN
2005-08-01T00:00:00Z,NH05,NaN
2005-09-01T00:00:00Z,NH05,0.5770081
2005-10-01T00:00:00Z,NH05,NaN
2005-11-01T00:00:00Z,NH05,1.764868
2005-12-01T00:00:00Z,NH05,1.6745137
2006-01-01T00:00:00Z,NH05,NaN
2006-02-01T00:00:00Z,NH05,1.2792823
2006-03-01T00:00:00Z,NH05,1.6934333
2006-04-01T00:00:00Z,NH05,1.6777432
2006-05-01T00:00:00Z,NH05,0.6378662
2006-06-01T00:00:00Z,NH05,0.8068334
2006-07-01T00:00:00Z,NH05,0.6831625
2006-08-01T00:00:00Z,NH05,0.61214876
2006-09-01T00:00:00Z,NH05,0.5848688
2006-10-01T00:00:00Z,NH05,0.6996852
2006-11-01T00:00:00Z,NH05,1.8177146
2006-12-01T00:00:00Z,NH05,1.7556863
2007-01-01T00:00:00Z,NH05,1.2041576
2007-02-01T00:00:00Z,NH05,1.7263067
2007-03-01T00:00:00Z,NH05,1.4436353
2007-04-01T00:00:00Z,NH05,1.1003063
2007-05-01T00:00:00Z,NH05,0.85159343
2007-06-01T00:00:00Z,NH05,0.6466873
2007-07-01T00:00:00Z,NH05,0.6221884
2007-08-01T00:00:00Z,NH05,0.6092072
2007-09-01T00:00:00Z,NH05,0.6536747
2007-10-01T00:00:00Z,NH05,1.4202795
2007-11-01T00:00:00Z,NH05,1.2219067
2007-12-01T00:00:00Z,NH05,1.5600666
2008-01-01T00:00:00Z,NH05,NaN
2008-02-01T00:00:00Z,NH05,1.4917752
2008-03-01T00:00:00Z,NH05,1.573785
2008-04-01T00:00:00Z,NH05,0.76564425
2008-05-01T00:00:00Z,NH05,0.81873655
2008-06-01T00:00:00Z,NH05,0.653943
2008-07-01T00:00:00Z,NH05,0.7438025
2008-08-01T00:00:00Z,NH05,0.8680496
2008-09-01T00:00:00Z,NH05,0.83595
2008-10-01T00:00:00Z,NH05,1.1363803
2008-11-01T00:00:00Z,NH05,1.8136016
2008-12-01T00:00:00Z,NH05,1.6344943
2009-01-01T00:00:00Z,NH05,1.5967692
2009-02-01T00:00:00Z,NH05,1.4669595
2009-03-01T00:00:00Z,NH05,1.697879
2009-04-01T00:00:00Z,NH05,0.7294153
2009-05-01T00:00:00Z,NH05,1.0763087
2009-06-01T00:00:00Z,NH05,0.6712978
2009-07-01T00:00:00Z,NH05,0.62418807
2009-08-01T00:00:00Z,NH05,0.7100915
2009-09-01T00:00:00Z,NH05,0.85991985
2009-10-01T00:00:00Z,NH05,1.230934
2009-11-01T00:00:00Z,NH05,1.7814541
2009-12-01T00:00:00Z,NH05,1.5667002
2010-01-01T00:00:00Z,NH05,NaN
2010-02-01T00:00:00Z,NH05,1.7668406
2010-03-01T00:00:00Z,NH05,1.4847518
2010-04-01T00:00:00Z,NH05,1.5965035
2010-05-01T00:00:00Z,NH05,0.95955276
2010-06-01T00:00:00Z,NH05,1.3834938
2010-07-01T00:00:00Z,NH05,0.7513187
2010-08-01T00:00:00Z,NH05,0.78216094
2010-09-01T00:00:00Z,NH05,0.8270465
2010-10-01T00:00:00Z,NH05,0.7419117
2010-11-01T00:00:00Z,NH05,1.8650767
2010-12-01T00:00:00Z,NH05,NaN
2011-01-01T00:00:00Z,NH05,1.6819469
2011-02-01T00:00:00Z,NH05,1.337127
2011-03-01T00:00:00Z,NH05,NaN
2011-04-01T00:00:00Z,NH05,1.6884917
2011-05-01T00:00:00Z,NH05,0.7390071
2011-06-01T00:00:00Z,NH05,0.7321655
2011-07-01T00:00:00Z,NH05,0.64888966
2011-08-01T00:00:00Z,NH05,0.6238905
2011-09-01T00:00:00Z,NH05,1.0412351
2011-10-01T00:00:00Z,NH05,1.0973697
2011-11-01T00:00:00Z,NH05,1.7791327
2011-12-01T00:00:00Z,NH05,1.1231949
2012-01-01T00:00:00Z,NH05,1.6564332
2012-02-01T00:00:00Z,NH05,1.6396611
2012-03-01T00:00:00Z,NH05,1.3367994
2012-04-01T00:00:00Z,NH05,1.6747578
2012-05-01T00:00:00Z,NH05,1.0097929
2012-06-01T00:00:00Z,NH05,0.9096591
2012-07-01T00:00:00Z,NH05,0.6858205
2012-08-01T00:00:00Z,NH05,0.6310449
2012-09-01T00:00:00Z,NH05,0.70584667
2012-10-01T00:00:00Z,NH05,1.3700855
2012-11-01T00:00:00Z,NH05,1.8375876
2012-12-01T00:00:00Z,NH05,1.7431917
2013-01-01T00:00:00Z,NH05,1.5891474
2013-02-01T00:00:00Z,NH05,1.0745744
2013-03-01T00:00:00Z,NH05,1.4133999
2013-04-01T00:00:00Z,NH05,0.6881863
2013-05-01T00:00:00Z,NH05,0.88895357
2013-06-01T00:00:00Z,NH05,0.9164486
2013-07-01T00:00:00Z,NH05,0.6205969
2013-08-01T00:00:00Z,NH05,0.6297182
2013-09-01T00:00:00Z,NH05,1.3123037
2013-10-01T00:00:00Z,NH05,1.268687
2013-11-01T00:00:00Z,NH05,1.569753
2013-12-01T00:00:00Z,NH05,1.2220939
2014-01-01T00:00:00Z,NH05,1.4750965
2014-02-01T00:00:00Z,NH05,1.55108
2014-03-01T00:00:00Z,NH05,1.8669884
2014-04-01T00:00:00Z,NH05,1.8470291
2014-05-01T00:00:00Z,NH05,1.5189689
2014-06-01T00:00:00Z,NH05,0.7126911
2014-07-01T00:00:00Z,NH05,0.69709194
2014-08-01T00:00:00Z,NH05,0.76258755
2014-09-01T00:00:00Z,NH05,1.4167087
2014-10-01T00:00:00Z,NH05,1.6155454
2014-11-01T00:00:00Z,NH05,1.9945109
2014-12-01T00:00:00Z,NH05,1.7909979
2015-01-01T00:00:00Z,NH05,1.8966749
2015-02-01T00:00:00Z,NH05,1.7893488
2015-03-01T00:00:00Z,NH05,1.3780429
2015-04-01T00:00:00Z,NH05,1.1064839
2015-05-01T00:00:00Z,NH05,0.7517057
2015-06-01T00:00:00Z,NH05,0.8016854
2015-07-01T00:00:00Z,NH05,0.9332833
2015-08-01T00:00:00Z,NH05,0.8938475
2015-09-01T00:00:00Z,NH05,1.2894238
2015-10-01T00:00:00Z,NH05,1.0694891
2015-11-01T00:00:00Z,NH05,1.7001132
2015-12-01T00:00:00Z,NH05,NaN
2016-01-01T00:00:00Z,NH05,1.8487761
2016-02-01T00:00:00Z,NH05,2.1324313
2016-03-01T00:00:00Z,NH05,1.8937894
2016-04-01T00:00:00Z,NH05,1.5265253
2016-05-01T00:00:00Z,NH05,0.7894999
2016-06-01T00:00:00Z,NH05,0.75277466
2016-07-01T00:00:00Z,NH05,0.63264906
2016-08-01T00:00:00Z,NH05,0.71231467
2016-09-01T00:00:00Z,NH05,0.7756899
2016-10-01T00:00:00Z,NH05,1.3593955
2016-11-01T00:00:00Z,NH05,2.040536
2016-12-01T00:00:00Z,NH05,1.9255176
2017-01-01T00:00:00Z,NH05,1.7495815
2017-02-01T00:00:00Z,NH05,1.7364954
2017-03-01T00:00:00Z,NH05,1.7772493
2017-04-01T00:00:00Z,NH05,1.8329467
2017-05-01T00:00:00Z,NH05,0.7572369
2017-06-01T00:00:00Z,NH05,0.7989579
2017-07-01T00:00:00Z,NH05,0.6930345
2017-08-01T00:00:00Z,NH05,0.6186815
2017-09-01T00:00:00Z,NH05,0.81243104
2017-10-01T00:00:00Z,NH05,1.2978656
2017-11-01T00:00:00Z,NH05,1.283031
2017-12-01T00:00:00Z,NH05,1.5903903
2018-01-01T00:00:00Z,NH05,NaN
2018-02-01T00:00:00Z,NH05,1.3444557
2018-03-01T00:00:00Z,NH05,1.7394243
2018-04-01T00:00:00Z,NH05,1.2910074
2018-05-01T00:00:00Z,NH05,0.7387735
2018-06-01T00:00:00Z,NH05,0.6031587
2018-07-01T00:00:00Z,NH05,0.6081189
2018-08-01T00:00:00Z,NH05,0.5299057
2018-09-01T00:00:00Z,NH05,0.5631452
2018-10-01T00:00:00Z,NH05,0.94233966
2018-11-01T00:00:00Z,NH05,1.8227807
2018-12-01T00:00:00Z,NH05,1.504064
2019-01-01T00:00:00Z,NH05,1.771621
2019-02-01T00:00:00Z,NH05,1.8057628
2019-03-01T00:00:00Z,NH05,1.6099612
2019-04-01T00:00:00Z,NH05,1.1182903
2019-05-01T00:00:00Z,NH05,0.7881516
2019-06-01T00:00:00Z,NH05,0.6581964
2019-07-01T00:00:00Z,NH05,0.6901345
2019-08-01T00:00:00Z,NH05,0.5227712
2019-09-01T00:00:00Z,NH05,1.013591
2019-10-01T00:00:00Z,NH05,1.347814
2019-11-01T00:00:00Z,NH05,0.99579805
2019-12-01T00:00:00Z,NH05,1.1690322
2020-01-01T00:00:00Z,NH05,NaN
2020-02-01T00:00:00Z,NH05,1.3514273
2020-03-01T00:00:00Z,NH05,0.8160903
2020-04-01T00:00:00Z,NH05,1.6548169
2020-05-01T00:00:00Z,NH05,2.0490625
2020-06-01T00:00:00Z,NH05,0.6306632
2020-07-01T00:00:00Z,NH05,0.5580367
2020-08-01T00:00:00Z,NH05,0.6762264
2020-09-01T00:00:00Z,NH05,1.441955
2020-10-01T00:00:00Z,NH05,1.2068521
2020-11-01T00:00:00Z,NH05,1.6344982
2020-12-01T00:00:00Z,NH05,NaN
1998-01-01T00:00:00Z,NH25,NaN
1998-02-01T00:00:00Z,NH25,NaN
1998-03-01T00:00:00Z,NH25,NaN
1998-04-01T00:00:00Z,NH25,NaN
1998-05-01T00:00:00Z,NH25,NaN
1998-06-01T00:00:00Z,NH25,NaN
1998-07-01T00:00:00Z,NH25,NaN
1998-08-01T00:00:00Z,NH25,0.7667741
1998-09-01T00:00:00Z,NH25,0.75083375
1998-10-01T00:00:00Z,NH25,NaN
1998-11-01T00:00:00Z,NH25,0.7104929
1998-12-01T00:00:00Z,NH25,NaN
1999-01-01T00:00:00Z,NH25,NaN
1999-02-01T00:00:00Z,NH25,0.8546318
1999-03-01T00:00:00Z,NH25,NaN
1999-04-01T00:00:00Z,NH25,0.8061708
1999-05-01T00:00:00Z,NH25,NaN
1999-06-01T00:00:00Z,NH25,NaN
1999-07-01T00:00:00Z,NH25,0.74864835
1999-08-01T00:00:00Z,NH25,NaN
1999-09-01T00:00:00Z,NH25,0.81023693
1999-10-01T00:00:00Z,NH25,NaN
1999-11-01T00:00:00Z,NH25,0.77771854
1999-12-01T00:00:00Z,NH25,NaN
2000-01-01T00:00:00Z,NH25,NaN
2000-02-01T00:00:00Z,NH25,0.84315044
2000-03-01T00:00:00Z,NH25,NaN
2000-04-01T00:00:00Z,NH25,0.76151025
2000-05-01T00:00:00Z,NH25,NaN
2000-06-01T00:00:00Z,NH25,NaN
2000-07-01T00:00:00Z,NH25,0.72122115
2000-08-01T00:00:00Z,NH25,NaN
2000-09-01T00:00:00Z,NH25,0.69199854
2000-10-01T00:00:00Z,NH25,NaN
2000-11-01T00:00:00Z,NH25,NaN
2000-12-01T00:00:00Z,NH25,NaN
2001-01-01T00:00:00Z,NH25,0.918153
2001-02-01T00:00:00Z,NH25,NaN
2001-03-01T00:00:00Z,NH25,0.90893775
2001-04-01T00:00:00Z,NH25,NaN
2001-05-01T00:00:00Z,NH25,NaN
2001-06-01T00:00:00Z,NH25,NaN
2001-07-01T00:00:00Z,NH25,0.7699194
2001-08-01T00:00:00Z,NH25,NaN
2001-09-01T00:00:00Z,NH25,0.73282284
2001-10-01T00:00:00Z,NH25,NaN
2001-11-01T00:00:00Z,NH25,0.91343206
2001-12-01T00:00:00Z,NH25,NaN
2002-01-01T00:00:00Z,NH25,NaN
2002-02-01T00:00:00Z,NH25,0.7517009
2002-03-01T00:00:00Z,NH25,NaN
2002-04-01T00:00:00Z,NH25,0.72458947
2002-05-01T00:00:00Z,NH25,0.68039876
2002-06-01T00:00:00Z,NH25,0.6829453
2002-07-01T00:00:00Z,NH25,0.6114388
2002-08-01T00:00:00Z,NH25,NaN
2002-09-01T00:00:00Z,NH25,0.71692765
2002-10-01T00:00:00Z,NH25,NaN
2002-11-01T00:00:00Z,NH25,NaN
2002-12-01T00:00:00Z,NH25,1.0697613
2003-01-01T00:00:00Z,NH25,NaN
2003-02-01T00:00:00Z,NH25,0.8300603
2003-03-01T00:00:00Z,NH25,NaN
2003-04-01T00:00:00Z,NH25,0.85855806
2003-05-01T00:00:00Z,NH25,NaN
2003-06-01T00:00:00Z,NH25,NaN
2003-07-01T00:00:00Z,NH25,0.746732
2003-08-01T00:00:00Z,NH25,NaN
2003-09-01T00:00:00Z,NH25,0.7458539
2003-10-01T00:00:00Z,NH25,NaN
2003-11-01T00:00:00Z,NH25,NaN
2003-12-01T00:00:00Z,NH25,NaN
2004-01-01T00:00:00Z,NH25,NaN
2004-02-01T00:00:00Z,NH25,NaN
2004-03-01T00:00:00Z,NH25,NaN
2004-04-01T00:00:00Z,NH25,NaN
2004-05-01T00:00:00Z,NH25,NaN
2004-06-01T00:00:00Z,NH25,0.7101539
2004-07-01T00:00:00Z,NH25,NaN
2004-08-01T00:00:00Z,NH25,0.75867647
2004-09-01T00:00:00Z,NH25,0.7174045
2004-10-01T00:00:00Z,NH25,NaN
2004-11-01T00:00:00Z,NH25,NaN
2004-12-01T00:00:00Z,NH25,NaN
2005-01-01T00:00:00Z,NH25,NaN
2005-02-01T00:00:00Z,NH25,NaN
2005-03-01T00:00:00Z,NH25,NaN
2005-04-01T00:00:00Z,NH25,NaN
2005-05-01T00:00:00Z,NH25,NaN
2005-06-01T00:00:00Z,NH25,0.7212582
2005-07-01T00:00:00Z,NH25,NaN
2005-08-01T00:00:00Z,NH25,NaN
2005-09-01T00:00:00Z,NH25,0.6264908
2005-10-01T00:00:00Z,NH25,NaN
2005-11-01T00:00:00Z,NH25,0.55513585
2005-12-01T00:00:00Z,NH25,0.613221
2006-01-01T00:00:00Z,NH25,NaN
2006-02-01T00:00:00Z,NH25,0.7018213
2006-03-01T00:00:00Z,NH25,NaN
2006-04-01T00:00:00Z,NH25,0.7630097
2006-05-01T00:00:00Z,NH25,0.7607982
2006-06-01T00:00:00Z,NH25,0.65945286
2006-07-01T00:00:00Z,NH25,0.64197665
2006-08-01T00:00:00Z,NH25,0.724964
2006-09-01T00:00:00Z,NH25,0.6730818
2006-10-01T00:00:00Z,NH25,0.6594282
2006-11-01T00:00:00Z,NH25,NaN
2006-12-01T00:00:00Z,NH25,0.73155904
2007-01-01T00:00:00Z,NH25,0.7967442
2007-02-01T00:00:00Z,NH25,0.75721264
2007-03-01T00:00:00Z,NH25,0.66371024
2007-04-01T00:00:00Z,NH25,0.64599544
2007-05-01T00:00:00Z,NH25,0.7251015
2007-06-01T00:00:00Z,NH25,0.6425152
2007-07-01T00:00:00Z,NH25,0.68050647
2007-08-01T00:00:00Z,NH25,0.6099414
2007-09-01T00:00:00Z,NH25,0.6578063
2007-10-01T00:00:00Z,NH25,0.7496602
2007-11-01T00:00:00Z,NH25,0.74444646
2007-12-01T00:00:00Z,NH25,0.8247249
2008-01-01T00:00:00Z,NH25,NaN
2008-02-01T00:00:00Z,NH25,0.8374659
2008-03-01T00:00:00Z,NH25,0.7757191
2008-04-01T00:00:00Z,NH25,0.75098026
2008-05-01T00:00:00Z,NH25,0.7029085
2008-06-01T00:00:00Z,NH25,0.6578501
2008-07-01T00:00:00Z,NH25,0.7061939
2008-08-01T00:00:00Z,NH25,0.82079095
2008-09-01T00:00:00Z,NH25,0.70015675
2008-10-01T00:00:00Z,NH25,0.74050146
2008-11-01T00:00:00Z,NH25,0.81127757
2008-12-01T00:00:00Z,NH25,0.9453598
2009-01-01T00:00:00Z,NH25,0.77697563
2009-02-01T00:00:00Z,NH25,0.78117543
2009-03-01T00:00:00Z,NH25,0.83451164
2009-04-01T00:00:00Z,NH25,0.75423765
2009-05-01T00:00:00Z,NH25,0.69680935
2009-06-01T00:00:00Z,NH25,0.70608896
2009-07-01T00:00:00Z,NH25,0.7227851
2009-08-01T00:00:00Z,NH25,0.71678996
2009-09-01T00:00:00Z,NH25,0.70662844
2009-10-01T00:00:00Z,NH25,0.70544606
2009-11-01T00:00:00Z,NH25,0.8260001
2009-12-01T00:00:00Z,NH25,0.7857187
2010-01-01T00:00:00Z,NH25,NaN
2010-02-01T00:00:00Z,NH25,0.9235095
2010-03-01T00:00:00Z,NH25,0.91371095
2010-04-01T00:00:00Z,NH25,0.83310634
2010-05-01T00:00:00Z,NH25,0.7959666
2010-06-01T00:00:00Z,NH25,0.7591723
2010-07-01T00:00:00Z,NH25,0.71035373
2010-08-01T00:00:00Z,NH25,0.7431064
2010-09-01T00:00:00Z,NH25,0.72520584
2010-10-01T00:00:00Z,NH25,0.7250483
2010-11-01T00:00:00Z,NH25,0.70133877
2010-12-01T00:00:00Z,NH25,NaN
2011-01-01T00:00:00Z,NH25,0.7897268
2011-02-01T00:00:00Z,NH25,0.79930574
2011-03-01T00:00:00Z,NH25,NaN
2011-04-01T00:00:00Z,NH25,0.7642569
2011-05-01T00:00:00Z,NH25,0.7063166
2011-06-01T00:00:00Z,NH25,0.76342297
2011-07-01T00:00:00Z,NH25,0.67106795
2011-08-01T00:00:00Z,NH25,0.71472406
2011-09-01T00:00:00Z,NH25,0.6799234
2011-10-01T00:00:00Z,NH25,0.74991924
2011-11-01T00:00:00Z,NH25,NaN
2011-12-01T00:00:00Z,NH25,0.7123483
2012-01-01T00:00:00Z,NH25,0.79011035
2012-02-01T00:00:00Z,NH25,NaN
2012-03-01T00:00:00Z,NH25,0.76968575
2012-04-01T00:00:00Z,NH25,0.819611
2012-05-01T00:00:00Z,NH25,0.77856326
2012-06-01T00:00:00Z,NH25,0.72946906
2012-07-01T00:00:00Z,NH25,0.7438101
2012-08-01T00:00:00Z,NH25,0.7213302
2012-09-01T00:00:00Z,NH25,0.7537357
2012-10-01T00:00:00Z,NH25,0.77971095
2012-11-01T00:00:00Z,NH25,0.78147835
2012-12-01T00:00:00Z,NH25,NaN
2013-01-01T00:00:00Z,NH25,0.85272694
2013-02-01T00:00:00Z,NH25,NaN
2013-03-01T00:00:00Z,NH25,0.7715329
2013-04-01T00:00:00Z,NH25,0.69469905
2013-05-01T00:00:00Z,NH25,0.6636814
2013-06-01T00:00:00Z,NH25,0.7354422
2013-07-01T00:00:00Z,NH25,0.72945404
2013-08-01T00:00:00Z,NH25,0.7588479
2013-09-01T00:00:00Z,NH25,NaN
2013-10-01T00:00:00Z,NH25,0.7383824
2013-11-01T00:00:00Z,NH25,0.68166864
2013-12-01T00:00:00Z,NH25,0.8189336
2014-01-01T00:00:00Z,NH25,0.7799005
2014-02-01T00:00:00Z,NH25,0.8264264
2014-03-01T00:00:00Z,NH25,NaN
2014-04-01T00:00:00Z,NH25,0.8060146
2014-05-01T00:00:00Z,NH25,0.7428483
2014-06-01T00:00:00Z,NH25,0.7189255
2014-07-01T00:00:00Z,NH25,0.73402375
2014-08-01T00:00:00Z,NH25,0.64450645
2014-09-01T00:00:00Z,NH25,0.6843036
2014-10-01T00:00:00Z,NH25,0.7817007
2014-11-01T00:00:00Z,NH25,0.8089832
2014-12-01T00:00:00Z,NH25,NaN
2015-01-01T00:00:00Z,NH25,0.8585788
2015-02-01T00:00:00Z,NH25,0.94321656
2015-03-01T00:00:00Z,NH25,0.835205
2015-04-01T00:00:00Z,NH25,0.7474796
2015-05-01T00:00:00Z,NH25,0.7934439
2015-06-01T00:00:00Z,NH25,0.7609589
2015-07-01T00:00:00Z,NH25,0.74108535
2015-08-01T00:00:00Z,NH25,0.7691506
2015-09-01T00:00:00Z,NH25,0.80511916
2015-10-01T00:00:00Z,NH25,0.917845
2015-11-01T00:00:00Z,NH25,0.8031162
2015-12-01T00:00:00Z,NH25,NaN
2016-01-01T00:00:00Z,NH25,1.0016012
2016-02-01T00:00:00Z,NH25,0.9703823
2016-03-01T00:00:00Z,NH25,0.87758183
2016-04-01T00:00:00Z,NH25,0.7719705
2016-05-01T00:00:00Z,NH25,0.76897883
2016-06-01T00:00:00Z,NH25,0.7792981
2016-07-01T00:00:00Z,NH25,NaN
2016-08-01T00:00:00Z,NH25,0.729675
2016-09-01T00:00:00Z,NH25,0.7122162
2016-10-01T00:00:00Z,NH25,0.7859388
2016-11-01T00:00:00Z,NH25,NaN
2016-12-01T00:00:00Z,NH25,0.8912188
2017-01-01T00:00:00Z,NH25,0.90791565
2017-02-01T00:00:00Z,NH25,0.88775074
2017-03-01T00:00:00Z,NH25,0.7883884
2017-04-01T00:00:00Z,NH25,NaN
2017-05-01T00:00:00Z,NH25,0.7170751
2017-06-01T00:00:00Z,NH25,0.6971123
2017-07-01T00:00:00Z,NH25,0.69848627
2017-08-01T00:00:00Z,NH25,0.6851545
2017-09-01T00:00:00Z,NH25,0.7125899
2017-10-01T00:00:00Z,NH25,NaN
2017-11-01T00:00:00Z,NH25,NaN
2017-12-01T00:00:00Z,NH25,0.79455924
2018-01-01T00:00:00Z,NH25,NaN
2018-02-01T00:00:00Z,NH25,0.7226055
2018-03-01T00:00:00Z,NH25,0.7624114
2018-04-01T00:00:00Z,NH25,NaN
2018-05-01T00:00:00Z,NH25,0.7738505
2018-06-01T00:00:00Z,NH25,0.58024853
2018-07-01T00:00:00Z,NH25,0.70816386
2018-08-01T00:00:00Z,NH25,0.7369823
2018-09-01T00:00:00Z,NH25,0.6872171
2018-10-01T00:00:00Z,NH25,0.80078435
2018-11-01T00:00:00Z,NH25,0.8083436
2018-12-01T00:00:00Z,NH25,0.78805923
2019-01-01T00:00:00Z,NH25,0.9120581
2019-02-01T00:00:00Z,NH25,0.96267086
2019-03-01T00:00:00Z,NH25,0.90819764
2019-04-01T00:00:00Z,NH25,0.9231778
2019-05-01T00:00:00Z,NH25,0.80385333
2019-06-01T00:00:00Z,NH25,0.7676663
2019-07-01T00:00:00Z,NH25,0.7564058
2019-08-01T00:00:00Z,NH25,0.7282532
2019-09-01T00:00:00Z,NH25,0.6502052
2019-10-01T00:00:00Z,NH25,0.77714396
2019-11-01T00:00:00Z,NH25,0.79835767
2019-12-01T00:00:00Z,NH25,0.8140345
2020-01-01T00:00:00Z,NH25,NaN
2020-02-01T00:00:00Z,NH25,0.8186085
2020-03-01T00:00:00Z,NH25,0.8186466
2020-04-01T00:00:00Z,NH25,0.7922489
2020-05-01T00:00:00Z,NH25,NaN
2020-06-01T00:00:00Z,NH25,0.6957823
2020-07-01T00:00:00Z,NH25,0.640196
2020-08-01T00:00:00Z,NH25,0.68744624
2020-09-01T00:00:00Z,NH25,0.6893085
2020-10-01T00:00:00Z,NH25,0.706348
2020-11-01T00:00:00Z,NH25,NaN
2020-12-01T00:00:00Z,NH25,NaN
