time,flow_anomaly_1_day_max,Seup,Selo,location
1985-01-01T00:00:00Z,-0.8950651,-0.5559694,-1.2343298,Sacramento Winter
1986-01-01T00:00:00Z,1.8453009,2.1842883,1.5059153,Sacramento Winter
1987-01-01T00:00:00Z,-0.7060789,-0.3672419,-1.0461947,Sacramento Winter
1988-01-01T00:00:00Z,-0.74737185,-0.40829808,-1.0866575,Sacramento Winter
1989-01-01T00:00:00Z,-0.36462533,-0.025712641,-0.7041956,Sacramento Winter
1990-01-01T00:00:00Z,-1.2244579,-0.8853293,-1.5650502,Sacramento Winter
1991-01-01T00:00:00Z,-1.1022942,-0.76311165,-1.4414932,Sacramento Winter
1992-01-01T00:00:00Z,-0.6092417,-0.2691596,-0.948378,Sacramento Winter
1993-01-01T00:00:00Z,0.45852762,0.797731,0.11932875,Sacramento Winter
1994-01-01T00:00:00Z,-1.5026106,-1.1633345,-1.8421689,Sacramento Winter
1995-01-01T00:00:00Z,1.2759236,1.6151354,0.9353356,Sacramento Winter
1996-01-01T00:00:00Z,0.05628092,0.3953981,-0.28300372,Sacramento Winter
1997-01-01T00:00:00Z,1.416335,1.7599989,1.0755054,Sacramento Winter
1998-01-01T00:00:00Z,1.0153536,1.3548284,0.6730954,Sacramento Winter
1999-01-01T00:00:00Z,-0.05279804,0.28599158,-0.39256892,Sacramento Winter
2000-01-01T00:00:00Z,0.21892108,0.5582071,-0.12022363,Sacramento Winter
2001-01-01T00:00:00Z,-0.4686697,-0.12734541,-0.808081,Sacramento Winter
2002-01-01T00:00:00Z,0.008652805,0.34793776,-0.330673,Sacramento Winter
2003-01-01T00:00:00Z,0.25611448,0.595225,-0.083212055,Sacramento Winter
2004-01-01T00:00:00Z,0.6145012,0.9536585,0.27525762,Sacramento Winter
2005-01-01T00:00:00Z,0.17275652,0.5130157,-0.16657363,Sacramento Winter
2006-01-01T00:00:00Z,1.2530144,1.5917754,0.9130959,Sacramento Winter
2007-01-01T00:00:00Z,-0.7313488,-0.39249372,-1.0710615,Sacramento Winter
2008-01-01T00:00:00Z,-0.6904025,-0.35087034,-1.0295086,Sacramento Winter
2009-01-01T00:00:00Z,-0.6655753,-0.32584473,-1.0047565,Sacramento Winter
2010-01-01T00:00:00Z,-0.37565407,-0.035531774,-0.7149912,Sacramento Winter
2011-01-01T00:00:00Z,0.21634988,0.5560225,-0.12275108,Sacramento Winter
2012-01-01T00:00:00Z,-0.9468987,-0.6077219,-1.2860997,Sacramento Winter
2013-01-01T00:00:00Z,-0.15703522,0.18222718,-0.4963089,Sacramento Winter
2014-01-01T00:00:00Z,-1.3008076,-0.9614702,-1.6413839,Sacramento Winter
2015-01-01T00:00:00Z,0.41539627,0.7546157,0.0741795,Sacramento Winter
2016-01-01T00:00:00Z,-0.006523092,0.3332581,-0.34580922,Sacramento Winter
2017-01-01T00:00:00Z,0.8978396,1.2381465,0.55886394,Sacramento Winter
2018-01-01T00:00:00Z,-0.47666585,-0.13792461,-0.8168223,Sacramento Winter
1981-01-01T00:00:00Z,0.65302604,0.9002111,0.40581474,Mid-Columbia Spring
1982-01-01T00:00:00Z,0.8050712,1.0518005,0.55795354,Mid-Columbia Spring
1983-01-01T00:00:00Z,0.38971516,0.6363919,0.1427543,Mid-Columbia Spring
1984-01-01T00:00:00Z,0.049547996,0.2962557,-0.19735569,Mid-Columbia Spring
1985-01-01T00:00:00Z,-0.4100426,-0.16319808,-0.656985,Mid-Columbia Spring
1986-01-01T00:00:00Z,0.8927556,1.1396055,0.6454914,Mid-Columbia Spring
1987-01-01T00:00:00Z,-0.67613226,-0.4294348,-0.9230489,Mid-Columbia Spring
1988-01-01T00:00:00Z,-0.89615965,-0.6495038,-1.1431527,Mid-Columbia Spring
1989-01-01T00:00:00Z,-0.36061206,-0.113848835,-0.6074816,Mid-Columbia Spring
1990-01-01T00:00:00Z,-0.78309995,-0.5364405,-1.0300899,Mid-Columbia Spring
1991-01-01T00:00:00Z,0.25088295,0.49825054,0.003794714,Mid-Columbia Spring
1992-01-01T00:00:00Z,-0.93464166,-0.6879634,-1.1815877,Mid-Columbia Spring
1993-01-01T00:00:00Z,-0.044973154,0.20180798,-0.29198343,Mid-Columbia Spring
1994-01-01T00:00:00Z,-0.97048694,-0.7237914,-1.2173998,Mid-Columbia Spring
