time,average_ESI,vessel_category
1984-01-01T00:00:00Z,1.68,vess_rev_5k_len_41
1985-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1986-01-01T00:00:00Z,1.49,vess_rev_5k_len_41
1987-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
1988-01-01T00:00:00Z,1.6,vess_rev_5k_len_41
1989-01-01T00:00:00Z,1.47,vess_rev_5k_len_41
1990-01-01T00:00:00Z,1.54,vess_rev_5k_len_41
1991-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1992-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
1993-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
1994-01-01T00:00:00Z,1.57,vess_rev_5k_len_41
1995-01-01T00:00:00Z,1.56,vess_rev_5k_len_41
1996-01-01T00:00:00Z,1.46,vess_rev_5k_len_41
1997-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
1998-01-01T00:00:00Z,1.55,vess_rev_5k_len_41
1999-01-01T00:00:00Z,1.46,vess_rev_5k_len_41
2000-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2001-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
2002-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2003-01-01T00:00:00Z,1.46,vess_rev_5k_len_41
2004-01-01T00:00:00Z,1.49,vess_rev_5k_len_41
2005-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2006-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
2007-01-01T00:00:00Z,1.48,vess_rev_5k_len_41
2008-01-01T00:00:00Z,1.54,vess_rev_5k_len_41
2009-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
2010-01-01T00:00:00Z,1.57,vess_rev_5k_len_41
2011-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2012-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2013-01-01T00:00:00Z,1.53,vess_rev_5k_len_41
2014-01-01T00:00:00Z,1.49,vess_rev_5k_len_41
2015-01-01T00:00:00Z,1.51,vess_rev_5k_len_41
2016-01-01T00:00:00Z,1.52,vess_rev_5k_len_41
2017-01-01T00:00:00Z,1.56,vess_rev_5k_len_41
2018-01-01T00:00:00Z,1.58,vess_rev_5k_len_41
1981-01-01T00:00:00Z,2.01,vess_rev_5k_len_41-80
1982-01-01T00:00:00Z,2.04,vess_rev_5k_len_41-80
1983-01-01T00:00:00Z,1.95,vess_rev_5k_len_41-80
1984-01-01T00:00:00Z,2.12,vess_rev_5k_len_41-80
1985-01-01T00:00:00Z,2.09,vess_rev_5k_len_41-80
1986-01-01T00:00:00Z,2.16,vess_rev_5k_len_41-80
1987-01-01T00:00:00Z,2.33,vess_rev_5k_len_41-80
1988-01-01T00:00:00Z,2.45,vess_rev_5k_len_41-80
1989-01-01T00:00:00Z,2.03,vess_rev_5k_len_41-80
1990-01-01T00:00:00Z,2.29,vess_rev_5k_len_41-80
1991-01-01T00:00:00Z,2.42,vess_rev_5k_len_41-80
1992-01-01T00:00:00Z,2.45,vess_rev_5k_len_41-80
1993-01-01T00:00:00Z,2.52,vess_rev_5k_len_41-80
1994-01-01T00:00:00Z,2.53,vess_rev_5k_len_41-80
1995-01-01T00:00:00Z,2.34,vess_rev_5k_len_41-80
1996-01-01T00:00:00Z,2.22,vess_rev_5k_len_41-80
1997-01-01T00:00:00Z,2.37,vess_rev_5k_len_41-80
1998-01-01T00:00:00Z,2.29,vess_rev_5k_len_41-80
1999-01-01T00:00:00Z,2.19,vess_rev_5k_len_41-80
2000-01-01T00:00:00Z,2.25,vess_rev_5k_len_41-80
2001-01-01T00:00:00Z,2.35,vess_rev_5k_len_41-80
2002-01-01T00:00:00Z,2.17,vess_rev_5k_len_41-80
2003-01-01T00:00:00Z,2.1,vess_rev_5k_len_41-80
2004-01-01T00:00:00Z,2.17,vess_rev_5k_len_41-80
2005-01-01T00:00:00Z,2.14,vess_rev_5k_len_41-80
2006-01-01T00:00:00Z,2.18,vess_rev_5k_len_41-80
2007-01-01T00:00:00Z,2.17,vess_rev_5k_len_41-80
2008-01-01T00:00:00Z,2.16,vess_rev_5k_len_41-80
2009-01-01T00:00:00Z,2.19,vess_rev_5k_len_41-80
2010-01-01T00:00:00Z,2.18,vess_rev_5k_len_41-80
2011-01-01T00:00:00Z,2.16,vess_rev_5k_len_41-80
2012-01-01T00:00:00Z,2.18,vess_rev_5k_len_41-80
2013-01-01T00:00:00Z,2.06,vess_rev_5k_len_41-80
2014-01-01T00:00:00Z,2.15,vess_rev_5k_len_41-80
2015-01-01T00:00:00Z,2.14,vess_rev_5k_len_41-80
2016-01-01T00:00:00Z,2.1,vess_rev_5k_len_41-80
2017-01-01T00:00:00Z,2.09,vess_rev_5k_len_41-80
2018-01-01T00:00:00Z,2.1,vess_rev_5k_len_41-80
1981-01-01T00:00:00Z,1.99,vess_rev_5k_len_81-125
1982-01-01T00:00:00Z,2.01,vess_rev_5k_len_81-125
1983-01-01T00:00:00Z,1.83,vess_rev_5k_len_81-125
1984-01-01T00:00:00Z,1.86,vess_rev_5k_len_81-125
1985-01-01T00:00:00Z,2.07,vess_rev_5k_len_81-125
1986-01-01T00:00:00Z,2.16,vess_rev_5k_len_81-125
1987-01-01T00:00:00Z,2.12,vess_rev_5k_len_81-125
1988-01-01T00:00:00Z,2.24,vess_rev_5k_len_81-125
1989-01-01T00:00:00Z,2.21,vess_rev_5k_len_81-125
1990-01-01T00:00:00Z,2.48,vess_rev_5k_len_81-125
1991-01-01T00:00:00Z,2.58,vess_rev_5k_len_81-125
1992-01-01T00:00:00Z,2.71,vess_rev_5k_len_81-125
1993-01-01T00:00:00Z,2.72,vess_rev_5k_len_81-125
1994-01-01T00:00:00Z,2.43,vess_rev_5k_len_81-125
1995-01-01T00:00:00Z,2.37,vess_rev_5k_len_81-125
1996-01-01T00:00:00Z,2.8,vess_rev_5k_len_81-125
1997-01-01T00:00:00Z,2.58,vess_rev_5k_len_81-125
1998-01-01T00:00:00Z,2.35,vess_rev_5k_len_81-125
1999-01-01T00:00:00Z,2.28,vess_rev_5k_len_81-125
2000-01-01T00:00:00Z,2.49,vess_rev_5k_len_81-125
2001-01-01T00:00:00Z,2.34,vess_rev_5k_len_81-125
2002-01-01T00:00:00Z,2.35,vess_rev_5k_len_81-125
2003-01-01T00:00:00Z,2.47,vess_rev_5k_len_81-125
2004-01-01T00:00:00Z,2.45,vess_rev_5k_len_81-125
2005-01-01T00:00:00Z,2.15,vess_rev_5k_len_81-125
2006-01-01T00:00:00Z,2.34,vess_rev_5k_len_81-125
2007-01-01T00:00:00Z,2.35,vess_rev_5k_len_81-125
2008-01-01T00:00:00Z,2.31,vess_rev_5k_len_81-125
2009-01-01T00:00:00Z,2.3,vess_rev_5k_len_81-125
2010-01-01T00:00:00Z,2.36,vess_rev_5k_len_81-125
2011-01-01T00:00:00Z,2.26,vess_rev_5k_len_81-125
2012-01-01T00:00:00Z,2.19,vess_rev_5k_len_81-125
2013-01-01T00:00:00Z,2.04,vess_rev_5k_len_81-125
2014-01-01T00:00:00Z,2.16,vess_rev_5k_len_81-125
2015-01-01T00:00:00Z,2.12,vess_rev_5k_len_81-125
2016-01-01T00:00:00Z,2.19,vess_rev_5k_len_81-125
2017-01-01T00:00:00Z,2.14,vess_rev_5k_len_81-125
2018-01-01T00:00:00Z,2.19,vess_rev_5k_len_81-125
1981-01-01T00:00:00Z,1.88,vess_2018_WA_rev_5k
1982-01-01T00:00:00Z,1.92,vess_2018_WA_rev_5k
1983-01-01T00:00:00Z,1.82,vess_2018_WA_rev_5k
1984-01-01T00:00:00Z,2.03,vess_2018_WA_rev_5k
1985-01-01T00:00:00Z,2.03,vess_2018_WA_rev_5k
1986-01-01T00:00:00Z,2.09,vess_2018_WA_rev_5k
1987-01-01T00:00:00Z,2.26,vess_2018_WA_rev_5k
