time,density_anomaly,species_cohort
1999-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
2000-01-01T00:00:00Z,-0.15439871,"Common murre (So CC, Spring)"
2001-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
2002-01-01T00:00:00Z,-0.12949702,"Common murre (So CC, Spring)"
2003-01-01T00:00:00Z,-0.13235877,"Common murre (So CC, Spring)"
2004-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
2005-01-01T00:00:00Z,-0.10741618,"Common murre (So CC, Spring)"
2006-01-01T00:00:00Z,-0.15463918,"Common murre (So CC, Spring)"
2007-01-01T00:00:00Z,NA,"Common murre (So CC, Spring)"
2008-01-01T00:00:00Z,-0.12110526,"Common murre (So CC, Spring)"
2009-01-01T00:00:00Z,-0.1401256,"Common murre (So CC, Spring)"
2010-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
2011-01-01T00:00:00Z,0.04940608,"Common murre (So CC, Spring)"
2012-01-01T00:00:00Z,0.20127098,"Common murre (So CC, Spring)"
2013-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
2014-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
2015-01-01T00:00:00Z,1.1759626,"Common murre (So CC, Spring)"
2016-01-01T00:00:00Z,0.70225817,"Common murre (So CC, Spring)"
2017-01-01T00:00:00Z,0.11362368,"Common murre (So CC, Spring)"
2018-01-01T00:00:00Z,1.3718244,"Common murre (So CC, Spring)"
2019-01-01T00:00:00Z,-0.07944241,"Common murre (So CC, Spring)"
1987-01-01T00:00:00Z,1.0521419,"Sooty shearwater (So CC, Spring)"
1988-01-01T00:00:00Z,0.41792807,"Sooty shearwater (So CC, Spring)"
1989-01-01T00:00:00Z,0.7184035,"Sooty shearwater (So CC, Spring)"
1990-01-01T00:00:00Z,1.1343237,"Sooty shearwater (So CC, Spring)"
1991-01-01T00:00:00Z,-0.5492885,"Sooty shearwater (So CC, Spring)"
1992-01-01T00:00:00Z,-0.44705746,"Sooty shearwater (So CC, Spring)"
1993-01-01T00:00:00Z,-0.25128204,"Sooty shearwater (So CC, Spring)"
1994-01-01T00:00:00Z,-0.47062486,"Sooty shearwater (So CC, Spring)"
1995-01-01T00:00:00Z,-0.3703708,"Sooty shearwater (So CC, Spring)"
1996-01-01T00:00:00Z,-0.001132289,"Sooty shearwater (So CC, Spring)"
1997-01-01T00:00:00Z,NA,"Sooty shearwater (So CC, Spring)"
1998-01-01T00:00:00Z,-0.29893646,"Sooty shearwater (So CC, Spring)"
1999-01-01T00:00:00Z,0.18438727,"Sooty shearwater (So CC, Spring)"
2000-01-01T00:00:00Z,-0.00669995,"Sooty shearwater (So CC, Spring)"
2001-01-01T00:00:00Z,-0.054522276,"Sooty shearwater (So CC, Spring)"
2002-01-01T00:00:00Z,-0.55088866,"Sooty shearwater (So CC, Spring)"
2003-01-01T00:00:00Z,-0.4984403,"Sooty shearwater (So CC, Spring)"
2004-01-01T00:00:00Z,-0.5689065,"Sooty shearwater (So CC, Spring)"
2005-01-01T00:00:00Z,-0.5458636,"Sooty shearwater (So CC, Spring)"
2006-01-01T00:00:00Z,-0.50561637,"Sooty shearwater (So CC, Spring)"
2007-01-01T00:00:00Z,NA,"Sooty shearwater (So CC, Spring)"
2008-01-01T00:00:00Z,-0.5653201,"Sooty shearwater (So CC, Spring)"
2009-01-01T00:00:00Z,-0.5689065,"Sooty shearwater (So CC, Spring)"
2010-01-01T00:00:00Z,0.17951785,"Sooty shearwater (So CC, Spring)"
2011-01-01T00:00:00Z,-0.435905,"Sooty shearwater (So CC, Spring)"
2012-01-01T00:00:00Z,-0.5393477,"Sooty shearwater (So CC, Spring)"
2013-01-01T00:00:00Z,0.65486896000000006,"Sooty shearwater (So CC, Spring)"
2014-01-01T00:00:00Z,0.34738424,"Sooty shearwater (So CC, Spring)"
2015-01-01T00:00:00Z,1.7426383,"Sooty shearwater (So CC, Spring)"
2016-01-01T00:00:00Z,0.40187243,"Sooty shearwater (So CC, Spring)"
2017-01-01T00:00:00Z,-0.06813119,"Sooty shearwater (So CC, Spring)"
2018-01-01T00:00:00Z,0.74750173,"Sooty shearwater (So CC, Spring)"
2019-01-01T00:00:00Z,-0.28372753,"Sooty shearwater (So CC, Spring)"
