time,SWE_anomaly,Seup,Selo,location
2006-01-01T00:00:00Z,0.71255106,0.97831875,0.44665492,Columbia Unglaciated
2007-01-01T00:00:00Z,-0.5840486,-0.322972,-0.8450806,Columbia Unglaciated
2008-01-01T00:00:00Z,1.0674424,1.3281249,0.8062268,Columbia Unglaciated
2009-01-01T00:00:00Z,0.31033048,0.5703968,0.049140774,Columbia Unglaciated
2010-01-01T00:00:00Z,-0.56172276,-0.30156586,-0.82219034,Columbia Unglaciated
2011-01-01T00:00:00Z,0.7216281,0.98181194,0.4611146,Columbia Unglaciated
2012-01-01T00:00:00Z,0.15294206,0.41318887,-0.10749158,Columbia Unglaciated
2013-01-01T00:00:00Z,-0.5083484,-0.2480033,-0.7686865,Columbia Unglaciated
2014-01-01T00:00:00Z,-0.12786418,0.13222905,-0.388471,Columbia Unglaciated
2015-01-01T00:00:00Z,-1.4396306,-1.1793568,-1.7000123,Columbia Unglaciated
2016-01-01T00:00:00Z,-0.011895298,0.24847323,-0.27218956,Columbia Unglaciated
2017-01-01T00:00:00Z,0.27060586,0.53105855,0.010325352,Columbia Unglaciated
2018-01-01T00:00:00Z,-0.03152873,0.22872502,-0.2919855,Columbia Unglaciated
2019-01-01T00:00:00Z,0.123612404,0.38374487,-0.1371862,Columbia Unglaciated
2020-01-01T00:00:00Z,-0.07049363,0.18957663,-0.33115646,Columbia Unglaciated
1937-01-01T00:00:00Z,0.30293944,1.4193075,-0.81450975,OR & N CA Coast
1938-01-01T00:00:00Z,0.8149146,1.9313093,-0.30264965,OR & N CA Coast
1939-01-01T00:00:00Z,-0.5490795,0.56729364,-1.6665007,OR & N CA Coast
1940-01-01T00:00:00Z,-0.5383125,0.5493573,-1.6262867,OR & N CA Coast
1941-01-01T00:00:00Z,1.1932434,2.2803726,0.10458475,OR & N CA Coast
1942-01-01T00:00:00Z,-0.02888061,1.0583508,-1.1173148,OR & N CA Coast
1943-01-01T00:00:00Z,-0.20501296,0.88253224,-1.2931074,OR & N CA Coast
1944-01-01T00:00:00Z,-0.51350695,0.35374865,-1.3814001,OR & N CA Coast
1945-01-01T00:00:00Z,-0.19950272,0.66747713,-1.0676459,OR & N CA Coast
1946-01-01T00:00:00Z,0.69200367,1.4197184,-0.036443077,OR & N CA Coast
1947-01-01T00:00:00Z,-0.7166236,0.0038390486,-1.4383732,OR & N CA Coast
1948-01-01T00:00:00Z,-0.58757865,0.13609797,-1.3078796,OR & N CA Coast
1949-01-01T00:00:00Z,0.81447774,1.5383554,0.09456188,OR & N CA Coast
1950-01-01T00:00:00Z,0.38980827,1.1139156,-0.32988358,OR & N CA Coast
1951-01-01T00:00:00Z,0.00174846,0.70222557,-0.6976321,OR & N CA Coast
1952-01-01T00:00:00Z,2.1738133,2.9790192,1.370442,OR & N CA Coast
1953-01-01T00:00:00Z,0.9940816,1.6947051,0.29481724,OR & N CA Coast
1954-01-01T00:00:00Z,0.57330567,1.2723771,-0.12742853,OR & N CA Coast
1955-01-01T00:00:00Z,-0.47554588,0.22650334,-1.1757234,OR & N CA Coast
1956-01-01T00:00:00Z,1.4016148,2.121969,0.6794068,OR & N CA Coast
1957-01-01T00:00:00Z,-0.13856538,0.5665634,-0.84253705,OR & N CA Coast
1958-01-01T00:00:00Z,1.7310289,2.434285,1.027342,OR & N CA Coast
1959-01-01T00:00:00Z,-0.37982708,0.31776294,-1.0825253,OR & N CA Coast
1960-01-01T00:00:00Z,-0.032235146,0.7741569,-0.83386064,OR & N CA Coast
1961-01-01T00:00:00Z,0.37790397,1.0770092,-0.32284623,OR & N CA Coast
1962-01-01T00:00:00Z,0.786761,1.4871024,0.08783792,OR & N CA Coast
1963-01-01T00:00:00Z,-1.2067504,-0.50694317,-1.9056878,OR & N CA Coast
1964-01-01T00:00:00Z,0.055293553,0.758438,-0.6426758,OR & N CA Coast
1965-01-01T00:00:00Z,-0.5429961,0.15709046,-1.2416395,OR & N CA Coast
1966-01-01T00:00:00Z,0.5931218,1.2926702,-0.10600072,OR & N CA Coast
1967-01-01T00:00:00Z,0.3369594,1.0363185,-0.3628327,OR & N CA Coast
1968-01-01T00:00:00Z,-0.27599028,0.42383957,-0.9750048,OR & N CA Coast
1969-01-01T00:00:00Z,1.8161176,2.5165386,1.1176273,OR & N CA Coast
1970-01-01T00:00:00Z,-0.6702155,0.027261717,-1.373533,OR & N CA Coast
1971-01-01T00:00:00Z,1.0369636,1.7379187,0.3385997,OR & N CA Coast
1972-01-01T00:00:00Z,-0.25032586,0.4494386,-0.9506245,OR & N CA Coast
1973-01-01T00:00:00Z,0.5196046,1.2182969,-0.18046437,OR & N CA Coast
1974-01-01T00:00:00Z,0.42075774,1.4192098,-0.5784756,OR & N CA Coast
1975-01-01T00:00:00Z,1.9064151,2.6068804,1.2078977,OR & N CA Coast
1976-01-01T00:00:00Z,-0.13195962,0.57056916,-0.82991225,OR & N CA Coast
1977-01-01T00:00:00Z,-0.9286463,-0.22662742,-1.6267369,OR & N CA Coast
1978-01-01T00:00:00Z,-0.08139818,0.76582974,-0.9346914,OR & N CA Coast
1979-01-01T00:00:00Z,-0.70431006,-0.14000899,-1.2682097,OR & N CA Coast
1980-01-01T00:00:00Z,-0.217738,0.3012472,-0.73688966,OR & N CA Coast
1981-01-01T00:00:00Z,-0.8113227,-0.36172664,-1.2559221,OR & N CA Coast
1982-01-01T00:00:00Z,0.5270011,1.006626,0.047112014,OR & N CA Coast
1983-01-01T00:00:00Z,2.0765321,2.490521,1.6658437,OR & N CA Coast
1984-01-01T00:00:00Z,0.29125482,0.70081884,-0.12626341,OR & N CA Coast
1985-01-01T00:00:00Z,0.9221841,1.3658223,0.4798085,OR & N CA Coast
1986-01-01T00:00:00Z,-0.34132645,0.066926695,-0.7523255,OR & N CA Coast
1987-01-01T00:00:00Z,-0.24310258,0.16536646,-0.653022,OR & N CA Coast
1988-01-01T00:00:00Z,-0.9731571,-0.56412524,-1.3823282,OR & N CA Coast
1989-01-01T00:00:00Z,0.49598268,0.90425855,0.08382557,OR & N CA Coast
1990-01-01T00:00:00Z,-0.8617378,-0.45288262,-1.2714659,OR & N CA Coast
1991-01-01T00:00:00Z,-0.41884735,-0.008149957,-0.8272976,OR & N CA Coast
1992-01-01T00:00:00Z,-0.8171605,-0.40077072,-1.2269756,OR & N CA Coast
1993-01-01T00:00:00Z,0.5082719,0.91703403,0.09877617,OR & N CA Coast
1994-01-01T00:00:00Z,-0.8614678,-0.4525959,-1.2708601,OR & N CA Coast
1995-01-01T00:00:00Z,0.25954545,0.66826195,-0.15018934,OR & N CA Coast
1996-01-01T00:00:00Z,-0.21351247,0.19474572,-0.6240699,OR & N CA Coast
1997-01-01T00:00:00Z,-0.6403897,-0.23230158,-1.0520728,OR & N CA Coast
1998-01-01T00:00:00Z,0.7971755,1.2120085,0.3877771,OR & N CA Coast
1999-01-01T00:00:00Z,1.7061999,2.152305,1.2605065,OR & N CA Coast
2000-01-01T00:00:00Z,0.2236154,0.6576694,-0.21179816,OR & N CA Coast
2001-01-01T00:00:00Z,-0.796079,-0.38789493,-1.1974813,OR & N CA Coast
2002-01-01T00:00:00Z,0.19474266,0.5950195,-0.21068491,OR & N CA Coast
2003-01-01T00:00:00Z,-0.5499445,-0.15037277,-0.9541868,OR & N CA Coast
2004-01-01T00:00:00Z,-0.07671606,0.31743714,-0.47643307,OR & N CA Coast
2005-01-01T00:00:00Z,-0.27171522,0.12961376,-0.66700757,OR & N CA Coast
2006-01-01T00:00:00Z,1.2340391,1.6396154,0.8276914,OR & N CA Coast
2007-01-01T00:00:00Z,-0.5659068,-0.16555674,-0.97521526,OR & N CA Coast
2008-01-01T00:00:00Z,1.3573997,1.7580665,0.95908815,OR & N CA Coast
2009-01-01T00:00:00Z,-0.19857244,0.22954962,-0.630838,OR & N CA Coast
2010-01-01T00:00:00Z,-0.23321977,0.17543061,-0.6394782,OR & N CA Coast
2011-01-01T00:00:00Z,1.1234723,1.570021,0.6808349,OR & N CA Coast
2012-01-01T00:00:00Z,0.14825635,0.5850102,-0.29033184,OR & N CA Coast
2013-01-01T00:00:00Z,-0.61268425,-0.21430963,-1.0113924,OR & N CA Coast
2014-01-01T00:00:00Z,-1.1287489,-0.73056185,-1.5229497,OR & N CA Coast
2015-01-01T00:00:00Z,-1.2963687,-0.8973961,-1.6899893,OR & N CA Coast
2016-01-01T00:00:00Z,-0.14620046,0.25625625,-0.55686355,OR & N CA Coast
2017-01-01T00:00:00Z,0.17779,0.57797045,-0.22647946,OR & N CA Coast
2018-01-01T00:00:00Z,-0.591287,-0.19254218,-0.9848708,OR & N CA Coast
2019-01-01T00:00:00Z,0.8714374,1.2715195,0.47570008,OR & N CA Coast
2020-01-01T00:00:00Z,-0.68445903,-0.29002702,-1.0822154,OR & N CA Coast
1919-01-01T00:00:00Z,0.19492427,1.4296526,-1.041067,Sacramento - San Joaquin
1920-01-01T00:00:00Z,-0.40187317,0.8244435,-1.6294171,Sacramento - San Joaquin
1921-01-01T00:00:00Z,0.7121253,2.084315,-0.6610878,Sacramento - San Joaquin
1922-01-01T00:00:00Z,1.3700517,2.5964677,0.14260714,Sacramento - San Joaquin
1923-01-01T00:00:00Z,-0.026556846,1.2090787,-1.2633369,Sacramento - San Joaquin
1924-01-01T00:00:00Z,-1.2502605,-0.030464811,-2.4711678,Sacramento - San Joaquin
1925-01-01T00:00:00Z,-0.74759763,0.1939226,-1.689223,Sacramento - San Joaquin
1926-01-01T00:00:00Z,-1.0335515,-0.1089239,-1.9584386,Sacramento - San Joaquin
1927-01-01T00:00:00Z,0.18391109,1.065386,-0.6978601,Sacramento - San Joaquin
1928-01-01T00:00:00Z,-0.9233707,-0.039688084,-1.8089808,Sacramento - San Joaquin
1929-01-01T00:00:00Z,-0.7995056,0.077706665,-1.6768957,Sacramento - San Joaquin
1930-01-01T00:00:00Z,-0.57741743,-0.10838731,-1.0468551,Sacramento - San Joaquin
1931-01-01T00:00:00Z,-1.27208,-0.78004646,-1.7649996,Sacramento - San Joaquin
1932-01-01T00:00:00Z,0.56518596,1.0340084,0.096350774,Sacramento - San Joaquin
1933-01-01T00:00:00Z,-0.020399468,0.4517834,-0.49312487,Sacramento - San Joaquin
1934-01-01T00:00:00Z,-1.468079,-0.99056756,-1.9465594,Sacramento - San Joaquin
1935-01-01T00:00:00Z,0.4366882,1.0138595,-0.14004673,Sacramento - San Joaquin
1936-01-01T00:00:00Z,0.3976848,0.874046,-0.07947753,Sacramento - San Joaquin
1937-01-01T00:00:00Z,0.98237765,1.4590616,0.505599,Sacramento - San Joaquin
1938-01-01T00:00:00Z,1.650369,2.0912652,1.208301,Sacramento - San Joaquin
1939-01-01T00:00:00Z,-0.63314754,-0.19312891,-1.0737067,Sacramento - San Joaquin
1940-01-01T00:00:00Z,-0.17983568,0.2760406,-0.6367694,Sacramento - San Joaquin
1941-01-01T00:00:00Z,0.9132905,1.3546921,0.4714045,Sacramento - San Joaquin
1942-01-01T00:00:00Z,0.1821721,0.6157029,-0.2521381,Sacramento - San Joaquin
1943-01-01T00:00:00Z,0.08225636,0.52139556,-0.35765055,Sacramento - San Joaquin
1944-01-01T00:00:00Z,-0.24756977,0.12436625,-0.61996436,Sacramento - San Joaquin
1945-01-01T00:00:00Z,0.32934746,0.6997299,-0.041575212,Sacramento - San Joaquin
1946-01-01T00:00:00Z,0.24978335,0.62043744,-0.12156031,Sacramento - San Joaquin
1947-01-01T00:00:00Z,-0.86189044,-0.48411262,-1.2399187,Sacramento - San Joaquin
1948-01-01T00:00:00Z,-0.45366886,-0.08182523,-0.82560885,Sacramento - San Joaquin
1949-01-01T00:00:00Z,0.63334167,1.003393,0.26307642,Sacramento - San Joaquin
1950-01-01T00:00:00Z,0.06264126,0.42807853,-0.30318317,Sacramento - San Joaquin
1951-01-01T00:00:00Z,-0.64243245,-0.2739803,-1.0109488,Sacramento - San Joaquin
1952-01-01T00:00:00Z,2.0692341,2.4411676,1.6968201,Sacramento - San Joaquin
1953-01-01T00:00:00Z,-0.06757753,0.2988289,-0.43463618,Sacramento - San Joaquin
1954-01-01T00:00:00Z,0.020853164,0.3857108,-0.34456035,Sacramento - San Joaquin
1955-01-01T00:00:00Z,-0.6546822,-0.28885663,-1.021076,Sacramento - San Joaquin
1956-01-01T00:00:00Z,0.5496763,0.91617054,0.18242483,Sacramento - San Joaquin
1957-01-01T00:00:00Z,-0.5323669,-0.1674042,-0.8977706,Sacramento - San Joaquin
1958-01-01T00:00:00Z,1.2673179,1.6519411,0.8824719,Sacramento - San Joaquin
1959-01-01T00:00:00Z,-0.77183986,-0.40080452,-1.1435561,Sacramento - San Joaquin
1960-01-01T00:00:00Z,-0.50680923,-0.0921732,-0.92152727,Sacramento - San Joaquin
1961-01-01T00:00:00Z,-0.40029982,-0.03319989,-0.7670065,Sacramento - San Joaquin
1962-01-01T00:00:00Z,0.97595155,1.3399426,0.61139816,Sacramento - San Joaquin
1963-01-01T00:00:00Z,-1.1292462,-0.76553977,-1.4932932,Sacramento - San Joaquin
1964-01-01T00:00:00Z,-0.45795804,-0.09424735,-0.821862,Sacramento - San Joaquin
1965-01-01T00:00:00Z,-0.049918193,0.316376,-0.41597438,Sacramento - San Joaquin
1966-01-01T00:00:00Z,-0.25744286,0.10686202,-0.6226041,Sacramento - San Joaquin
1967-01-01T00:00:00Z,0.19953324,0.56757087,-0.1697399,Sacramento - San Joaquin
1968-01-01T00:00:00Z,-0.5417641,-0.17869279,-0.9056098,Sacramento - San Joaquin
1969-01-01T00:00:00Z,2.1229024,2.486545,1.7589005,Sacramento - San Joaquin
1970-01-01T00:00:00Z,-0.6095255,-0.246814,-0.97229725,Sacramento - San Joaquin
1971-01-01T00:00:00Z,0.18144013,0.54558235,-0.18370534,Sacramento - San Joaquin
1972-01-01T00:00:00Z,-0.5541432,-0.19094022,-0.91715544,Sacramento - San Joaquin
1973-01-01T00:00:00Z,1.0550146,1.4159976,0.69394755,Sacramento - San Joaquin
1974-01-01T00:00:00Z,0.43681628,0.8161678,0.057097204,Sacramento - San Joaquin
1975-01-01T00:00:00Z,1.1031189,1.4770987,0.72901696,Sacramento - San Joaquin
1976-01-01T00:00:00Z,-0.8023911,-0.41681635,-1.1876429,Sacramento - San Joaquin
1977-01-01T00:00:00Z,-1.2380207,-0.8703036,-1.6058974,Sacramento - San Joaquin
1978-01-01T00:00:00Z,0.87565917,1.2755764,0.47511584,Sacramento - San Joaquin
1979-01-01T00:00:00Z,0.13642298,0.50050867,-0.22752196,Sacramento - San Joaquin
1980-01-01T00:00:00Z,0.51628405,0.92527914,0.10673687,Sacramento - San Joaquin
1981-01-01T00:00:00Z,-0.46555927,-0.1001969,-0.8307985,Sacramento - San Joaquin
1982-01-01T00:00:00Z,0.6239215,1.0660481,0.18221428,Sacramento - San Joaquin
1983-01-01T00:00:00Z,2.4557893,2.816117,2.0953224,Sacramento - San Joaquin
1984-01-01T00:00:00Z,-0.29397252,0.06294069,-0.6510447,Sacramento - San Joaquin
1985-01-01T00:00:00Z,0.15184906,0.50806147,-0.20456335,Sacramento - San Joaquin
1986-01-01T00:00:00Z,0.11152697,0.4718544,-0.25014058,Sacramento - San Joaquin
1987-01-01T00:00:00Z,-0.5529223,-0.19598325,-0.9100373,Sacramento - San Joaquin
1988-01-01T00:00:00Z,-1.138613,-0.7830934,-1.4940004,Sacramento - San Joaquin
1989-01-01T00:00:00Z,-0.06390427,0.29247734,-0.42046633,Sacramento - San Joaquin
