time,encounter_rate,species_cohort
1994-01-01T00:00:00Z,0.00471,Brandts cormorant encounter rate (Ce CC)
1995-01-01T00:00:00Z,0.0143,Brandts cormorant encounter rate (Ce CC)
1996-01-01T00:00:00Z,0.00767,Brandts cormorant encounter rate (Ce CC)
1997-01-01T00:00:00Z,0.00657,Brandts cormorant encounter rate (Ce CC)
1998-01-01T00:00:00Z,0.00547,Brandts cormorant encounter rate (Ce CC)
1999-01-01T00:00:00Z,0.00361,Brandts cormorant encounter rate (Ce CC)
2000-01-01T00:00:00Z,0.00486,Brandts cormorant encounter rate (Ce CC)
2001-01-01T00:00:00Z,0.00673,Brandts cormorant encounter rate (Ce CC)
2002-01-01T00:00:00Z,0.0085,Brandts cormorant encounter rate (Ce CC)
2003-01-01T00:00:00Z,0.00762,Brandts cormorant encounter rate (Ce CC)
2004-01-01T00:00:00Z,0.00605,Brandts cormorant encounter rate (Ce CC)
2005-01-01T00:00:00Z,0.01888,Brandts cormorant encounter rate (Ce CC)
2006-01-01T00:00:00Z,0.00817,Brandts cormorant encounter rate (Ce CC)
2007-01-01T00:00:00Z,0.02447,Brandts cormorant encounter rate (Ce CC)
2008-01-01T00:00:00Z,0.0207,Brandts cormorant encounter rate (Ce CC)
2009-01-01T00:00:00Z,0.05711,Brandts cormorant encounter rate (Ce CC)
2010-01-01T00:00:00Z,0.0054,Brandts cormorant encounter rate (Ce CC)
2011-01-01T00:00:00Z,0.0196,Brandts cormorant encounter rate (Ce CC)
2012-01-01T00:00:00Z,0.0107,Brandts cormorant encounter rate (Ce CC)
2013-01-01T00:00:00Z,0.00497,Brandts cormorant encounter rate (Ce CC)
2014-01-01T00:00:00Z,0.01366,Brandts cormorant encounter rate (Ce CC)
2015-01-01T00:00:00Z,0.02479,Brandts cormorant encounter rate (Ce CC)
2016-01-01T00:00:00Z,0.00558,Brandts cormorant encounter rate (Ce CC)
2017-01-01T00:00:00Z,0.00816,Brandts cormorant encounter rate (Ce CC)
2018-01-01T00:00:00Z,0.0064,Brandts cormorant encounter rate (Ce CC)
2019-01-01T00:00:00Z,0.009,Brandts cormorant encounter rate (Ce CC)
1997-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
1998-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
1999-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2000-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2001-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2002-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2003-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2004-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2005-01-01T00:00:00Z,0.079,Cassins auklet encounter rate (Ce/So CC) Central
2006-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2007-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2008-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2009-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2010-01-01T00:00:00Z,0.1,Cassins auklet encounter rate (Ce/So CC) Central
2011-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2012-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2013-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2014-01-01T00:00:00Z,0.433,Cassins auklet encounter rate (Ce/So CC) Central
2015-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2016-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) Central
2017-01-01T00:00:00Z,0.128,Cassins auklet encounter rate (Ce/So CC) Central
2018-01-01T00:00:00Z,0.078,Cassins auklet encounter rate (Ce/So CC) Central
1997-01-01T00:00:00Z,0,Common murre encounter rate(Ce/So CC) Central
1998-01-01T00:00:00Z,0,Common murre encounter rate(Ce/So CC) Central
1999-01-01T00:00:00Z,0,Common murre encounter rate(Ce/So CC) Central
2000-01-01T00:00:00Z,0,Common murre encounter rate(Ce/So CC) Central
2001-01-01T00:00:00Z,0.331,Common murre encounter rate(Ce/So CC) Central
2002-01-01T00:00:00Z,0.276,Common murre encounter rate(Ce/So CC) Central
2003-01-01T00:00:00Z,0.122,Common murre encounter rate(Ce/So CC) Central
2004-01-01T00:00:00Z,0,Common murre encounter rate(Ce/So CC) Central
2005-01-01T00:00:00Z,0.686,Common murre encounter rate(Ce/So CC) Central
2006-01-01T00:00:00Z,0.415,Common murre encounter rate(Ce/So CC) Central
2007-01-01T00:00:00Z,0.373,Common murre encounter rate(Ce/So CC) Central
2008-01-01T00:00:00Z,0.706,Common murre encounter rate(Ce/So CC) Central
2009-01-01T00:00:00Z,0.814,Common murre encounter rate(Ce/So CC) Central
2010-01-01T00:00:00Z,0.189,Common murre encounter rate(Ce/So CC) Central
2011-01-01T00:00:00Z,1.873,Common murre encounter rate(Ce/So CC) Central
2012-01-01T00:00:00Z,0.779,Common murre encounter rate(Ce/So CC) Central
2013-01-01T00:00:00Z,0.158,Common murre encounter rate(Ce/So CC) Central
2014-01-01T00:00:00Z,0.39,Common murre encounter rate(Ce/So CC) Central
2015-01-01T00:00:00Z,8.726,Common murre encounter rate(Ce/So CC) Central
2016-01-01T00:00:00Z,0.461,Common murre encounter rate(Ce/So CC) Central
2017-01-01T00:00:00Z,1.249,Common murre encounter rate(Ce/So CC) Central
2018-01-01T00:00:00Z,1.707,Common murre encounter rate(Ce/So CC) Central
1997-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
1998-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
1999-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2000-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2001-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2002-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2003-01-01T00:00:00Z,0.111,Sooty shearwater encounter rate (Ce/So CC) Central
2004-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2005-01-01T00:00:00Z,0.093,Sooty shearwater encounter rate (Ce/So CC) Central
2006-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2007-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2008-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2009-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2010-01-01T00:00:00Z,0,Sooty shearwater encounter rate (Ce/So CC) Central
2011-01-01T00:00:00Z,0.556,Sooty shearwater encounter rate (Ce/So CC) Central
2012-01-01T00:00:00Z,0.317,Sooty shearwater encounter rate (Ce/So CC) Central
2013-01-01T00:00:00Z,0.172,Sooty shearwater encounter rate (Ce/So CC) Central
2014-01-01T00:00:00Z,0.364,Sooty shearwater encounter rate (Ce/So CC) Central
2015-01-01T00:00:00Z,1,Sooty shearwater encounter rate (Ce/So CC) Central
2016-01-01T00:00:00Z,0.182,Sooty shearwater encounter rate (Ce/So CC) Central
2017-01-01T00:00:00Z,0.364,Sooty shearwater encounter rate (Ce/So CC) Central
2018-01-01T00:00:00Z,0.909,Sooty shearwater encounter rate (Ce/So CC) Central
1997-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
1998-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
1999-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2000-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2001-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2002-01-01T00:00:00Z,0.244,Northern fulmar encounter rate (Ce/So CC) Central
2003-01-01T00:00:00Z,1.165,Northern fulmar encounter rate (Ce/So CC) Central
2004-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2005-01-01T00:00:00Z,0.079,Northern fulmar encounter rate (Ce/So CC) Central
2006-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2007-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2008-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2009-01-01T00:00:00Z,0.437,Northern fulmar encounter rate (Ce/So CC) Central
2010-01-01T00:00:00Z,2.469,Northern fulmar encounter rate (Ce/So CC) Central
2011-01-01T00:00:00Z,0.133,Northern fulmar encounter rate (Ce/So CC) Central
2012-01-01T00:00:00Z,0.27,Northern fulmar encounter rate (Ce/So CC) Central
2013-01-01T00:00:00Z,1.091,Northern fulmar encounter rate (Ce/So CC) Central
2014-01-01T00:00:00Z,0.636,Northern fulmar encounter rate (Ce/So CC) Central
2015-01-01T00:00:00Z,0.818,Northern fulmar encounter rate (Ce/So CC) Central
2016-01-01T00:00:00Z,0,Northern fulmar encounter rate (Ce/So CC) Central
2017-01-01T00:00:00Z,0.364,Northern fulmar encounter rate (Ce/So CC) Central
2018-01-01T00:00:00Z,0.545,Northern fulmar encounter rate (Ce/So CC) Central
1997-01-01T00:00:00Z,0,Brandts cormorant encounter rate (Ce/So CC) Central
1998-01-01T00:00:00Z,0,Brandts cormorant encounter rate (Ce/So CC) Central
1999-01-01T00:00:00Z,0,Brandts cormorant encounter rate (Ce/So CC) Central
2000-01-01T00:00:00Z,0,Brandts cormorant encounter rate (Ce/So CC) Central
2001-01-01T00:00:00Z,0.484,Brandts cormorant encounter rate (Ce/So CC) Central
2002-01-01T00:00:00Z,0.344,Brandts cormorant encounter rate (Ce/So CC) Central
2003-01-01T00:00:00Z,0.244,Brandts cormorant encounter rate (Ce/So CC) Central
2004-01-01T00:00:00Z,0.365,Brandts cormorant encounter rate (Ce/So CC) Central
2005-01-01T00:00:00Z,0.795,Brandts cormorant encounter rate (Ce/So CC) Central
2006-01-01T00:00:00Z,0.469,Brandts cormorant encounter rate (Ce/So CC) Central
2007-01-01T00:00:00Z,0.559,Brandts cormorant encounter rate (Ce/So CC) Central
2008-01-01T00:00:00Z,0.971,Brandts cormorant encounter rate (Ce/So CC) Central
2009-01-01T00:00:00Z,0.849,Brandts cormorant encounter rate (Ce/So CC) Central
2010-01-01T00:00:00Z,0.369,Brandts cormorant encounter rate (Ce/So CC) Central
2011-01-01T00:00:00Z,1.11,Brandts cormorant encounter rate (Ce/So CC) Central
2012-01-01T00:00:00Z,0.731,Brandts cormorant encounter rate (Ce/So CC) Central
2013-01-01T00:00:00Z,0.278,Brandts cormorant encounter rate (Ce/So CC) Central
2014-01-01T00:00:00Z,2.371,Brandts cormorant encounter rate (Ce/So CC) Central
2015-01-01T00:00:00Z,1.629,Brandts cormorant encounter rate (Ce/So CC) Central
2016-01-01T00:00:00Z,0.253,Brandts cormorant encounter rate (Ce/So CC) Central
2017-01-01T00:00:00Z,0.344,Brandts cormorant encounter rate (Ce/So CC) Central
2018-01-01T00:00:00Z,0.596,Brandts cormorant encounter rate (Ce/So CC) Central
1997-01-01T00:00:00Z,0.015,Cassins auklet encounter rate (Ce/So CC) North
1998-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) North
1999-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) North
2000-01-01T00:00:00Z,0.008,Cassins auklet encounter rate (Ce/So CC) North
2001-01-01T00:00:00Z,0.016,Cassins auklet encounter rate (Ce/So CC) North
2002-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) North
2003-01-01T00:00:00Z,0.012,Cassins auklet encounter rate (Ce/So CC) North
2004-01-01T00:00:00Z,0.505,Cassins auklet encounter rate (Ce/So CC) North
2005-01-01T00:00:00Z,0.038,Cassins auklet encounter rate (Ce/So CC) North
2006-01-01T00:00:00Z,0.014,Cassins auklet encounter rate (Ce/So CC) North
2007-01-01T00:00:00Z,0.006,Cassins auklet encounter rate (Ce/So CC) North
2008-01-01T00:00:00Z,0.024,Cassins auklet encounter rate (Ce/So CC) North
2009-01-01T00:00:00Z,0.038,Cassins auklet encounter rate (Ce/So CC) North
2010-01-01T00:00:00Z,0.014,Cassins auklet encounter rate (Ce/So CC) North
2011-01-01T00:00:00Z,0.03,Cassins auklet encounter rate (Ce/So CC) North
2012-01-01T00:00:00Z,0.025,Cassins auklet encounter rate (Ce/So CC) North
2013-01-01T00:00:00Z,0.007,Cassins auklet encounter rate (Ce/So CC) North
2014-01-01T00:00:00Z,4.021,Cassins auklet encounter rate (Ce/So CC) North
2015-01-01T00:00:00Z,0.082,Cassins auklet encounter rate (Ce/So CC) North
2016-01-01T00:00:00Z,0,Cassins auklet encounter rate (Ce/So CC) North
2017-01-01T00:00:00Z,0.013,Cassins auklet encounter rate (Ce/So CC) North
2018-01-01T00:00:00Z,0.304,Cassins auklet encounter rate (Ce/So CC) North
1997-01-01T00:00:00Z,1.454,Common murre encounter rate(Ce/So CC) North
1998-01-01T00:00:00Z,9.095,Common murre encounter rate(Ce/So CC) North
1999-01-01T00:00:00Z,1.612,Common murre encounter rate(Ce/So CC) North
2000-01-01T00:00:00Z,3.002,Common murre encounter rate(Ce/So CC) North
2001-01-01T00:00:00Z,1.705,Common murre encounter rate(Ce/So CC) North
2002-01-01T00:00:00Z,2.856,Common murre encounter rate(Ce/So CC) North
2003-01-01T00:00:00Z,3.045,Common murre encounter rate(Ce/So CC) North
2004-01-01T00:00:00Z,2.439,Common murre encounter rate(Ce/So CC) North
2005-01-01T00:00:00Z,2.945,Common murre encounter rate(Ce/So CC) North
2006-01-01T00:00:00Z,7.257,Common murre encounter rate(Ce/So CC) North
2007-01-01T00:00:00Z,10.42,Common murre encounter rate(Ce/So CC) North
2008-01-01T00:00:00Z,11.211,Common murre encounter rate(Ce/So CC) North
2009-01-01T00:00:00Z,3.995,Common murre encounter rate(Ce/So CC) North
2010-01-01T00:00:00Z,0.981,Common murre encounter rate(Ce/So CC) North
2011-01-01T00:00:00Z,4.644,Common murre encounter rate(Ce/So CC) North
2012-01-01T00:00:00Z,3.048,Common murre encounter rate(Ce/So CC) North
2013-01-01T00:00:00Z,1.271,Common murre encounter rate(Ce/So CC) North
2014-01-01T00:00:00Z,3.143,Common murre encounter rate(Ce/So CC) North
2015-01-01T00:00:00Z,31.652,Common murre encounter rate(Ce/So CC) North
2016-01-01T00:00:00Z,1.445,Common murre encounter rate(Ce/So CC) North
2017-01-01T00:00:00Z,3.964,Common murre encounter rate(Ce/So CC) North
2018-01-01T00:00:00Z,4.158,Common murre encounter rate(Ce/So CC) North
1997-01-01T00:00:00Z,1.829,Sooty shearwater encounter rate (Ce/So CC) North
1998-01-01T00:00:00Z,6.362,Sooty shearwater encounter rate (Ce/So CC) North
1999-01-01T00:00:00Z,0.904,Sooty shearwater encounter rate (Ce/So CC) North
2000-01-01T00:00:00Z,3.186,Sooty shearwater encounter rate (Ce/So CC) North
2001-01-01T00:00:00Z,1.283,Sooty shearwater encounter rate (Ce/So CC) North
2002-01-01T00:00:00Z,0.963,Sooty shearwater encounter rate (Ce/So CC) North
2003-01-01T00:00:00Z,0.515,Sooty shearwater encounter rate (Ce/So CC) North
