time,hci_regn1,hci_regn2,hci_regn3,hci_regn4
1988-09-01T00:00:00Z,0.6822323,0.9669173,0.7347162,0.47364217
1988-10-01T00:00:00Z,0.3621868,0.71428573,0.8624454,0.45207667
1988-11-01T00:00:00Z,0.26309794,0.5593985,0.6757642,0.73801917
1988-12-01T00:00:00Z,0.261959,0.8706767,0.69541484,0.7707668
1989-01-01T00:00:00Z,0.9829157,1.0,1.0,0.97284347
1989-02-01T00:00:00Z,1.0,1.0,1.0,0.9089457
1989-03-01T00:00:00Z,1.0,1.0,0.88209605,0.64057505
1989-04-01T00:00:00Z,0.6343964,0.55488724,0.08406114,0.40175718
1989-05-01T00:00:00Z,0.11845102,0.17293233,0.20305677,0.48722044
1989-06-01T00:00:00Z,0.2642369,0.48120302,0.2914847,0.5295527
1989-07-01T00:00:00Z,0.07061503,0.24060151,0.44978166,0.48642173
1989-08-01T00:00:00Z,0.14350797,0.31278196,0.7194323,0.46964857
1989-09-01T00:00:00Z,0.40774488,0.47969925,0.2576419,0.50559103
1989-10-01T00:00:00Z,0.38382688,0.4300752,0.32969433,0.49201277
1989-11-01T00:00:00Z,0.37015945,0.54285717,0.17139737,0.42492014
1989-12-01T00:00:00Z,0.39407745,0.42857143,0.01419214,0.24121405
1990-01-01T00:00:00Z,0.43963555,0.85714287,0.59934497,0.44009584
1990-02-01T00:00:00Z,1.0,0.99398494,0.84388644,0.60383385
1990-03-01T00:00:00Z,0.83940774,0.9203007,0.97707427,0.5471246
1990-04-01T00:00:00Z,0.5261959,0.56842107,0.16048035,0.3985623
1990-05-01T00:00:00Z,0.8359909,0.7503759,0.48580787,0.45926517
1990-06-01T00:00:00Z,0.48063782,0.012030075,0.13100436,0.46884984
1990-07-01T00:00:00Z,0.23234624,0.11278196,0.09606987,0.399361
1990-08-01T00:00:00Z,0.17767654,0.28270677,0.08951965,0.43610224
1990-09-01T00:00:00Z,0.034168564,0.004511278,0.038209606,0.44089457
1990-10-01T00:00:00Z,0.2425968,0.20601504,0.44650656,0.33945686
1990-11-01T00:00:00Z,0.14464693,0.19699249,0.4268559,0.37539935
1990-12-01T00:00:00Z,0.5876993,0.72030073,0.6233624,0.41453674
1991-01-01T00:00:00Z,0.99088836,0.96390975,0.9847162,0.5207668
1991-02-01T00:00:00Z,0.9806378,1.0,0.76746726,0.35303515
1991-03-01T00:00:00Z,0.92027336,0.87819546,0.77401745,0.5407348
1991-04-01T00:00:00Z,1.0,1.0,0.80131006,0.51996803
1991-05-01T00:00:00Z,1.0,1.0,0.98034936,0.83945686
1991-06-01T00:00:00Z,1.0,0.7954887,0.82969433,0.80351436
1991-07-01T00:00:00Z,0.4259681,0.6165413,0.5818777,0.8698083
1991-08-01T00:00:00Z,0.19817768,0.23609023,0.25436682,0.88977635
1991-09-01T00:00:00Z,0.12756264,0.26766917,0.279476,0.80191696
1991-10-01T00:00:00Z,0.33257404,0.3338346,0.31222707,0.48801917
1991-11-01T00:00:00Z,0.49430525,0.56842107,0.51746726,0.4752396
1991-12-01T00:00:00Z,0.27676538,0.8601504,0.6757642,0.5726837
1992-01-01T00:00:00Z,0.23348519,0.6571429,0.6604803,0.5079872
1992-02-01T00:00:00Z,0.0261959,0.2075188,0.0021834061,0.29952076
1992-03-01T00:00:00Z,0.0,0.0,0.0,0.17492013
1992-04-01T00:00:00Z,0.0,0.0,0.0,0.029552715
1992-05-01T00:00:00Z,0.039863326,0.0,0.0,0.20127796
1992-06-01T00:00:00Z,0.11503417,0.09172932,0.049126636,0.2539936
1992-07-01T00:00:00Z,0.091116175,0.019548872,0.029475983,0.33226836
1992-08-01T00:00:00Z,0.18678816,0.14586467,0.26310045,0.38658148
1992-09-01T00:00:00Z,0.44305238,0.23157895,0.1779476,0.39776358
1992-10-01T00:00:00Z,0.21070614,0.17744361,0.05349345,0.2899361
1992-11-01T00:00:00Z,0.14236902,0.07218045,0.01419214,0.20447284
1992-12-01T00:00:00Z,0.44419134,0.4030075,0.09061135,0.34984025
1993-01-01T00:00:00Z,0.79157174,0.6210526,0.6015284,0.52715653
1993-02-01T00:00:00Z,0.61503416,0.5488722,0.19104804,0.28514376
1993-03-01T00:00:00Z,0.5318907,0.16390978,0.05676856,0.26996806
1993-04-01T00:00:00Z,0.37699318,0.19699249,0.0032751092,0.35623002
