time,vwnd
2012-11-01T00:00:00Z,4.907293
2012-12-01T00:00:00Z,4.45027
2013-01-01T00:00:00Z,0.56891
2013-02-01T00:00:00Z,0.696577
2013-03-01T00:00:00Z,0.637012
2013-04-01T00:00:00Z,-1.78454
2013-05-01T00:00:00Z,0.115457
2013-06-01T00:00:00Z,-1.3
2013-07-01T00:00:00Z,-6.163844
2013-08-01T00:00:00Z,-0.889744
2013-09-01T00:00:00Z,1.197619
2013-10-01T00:00:00Z,-3.436425
2013-11-01T00:00:00Z,0.540334
2013-12-01T00:00:00Z,-0.691532
2014-01-01T00:00:00Z,0.932436
2014-02-01T00:00:00Z,2.647619
2014-03-01T00:00:00Z,2.592588
2014-04-01T00:00:00Z,0.266571
2014-05-01T00:00:00Z,-0.800138
2014-06-01T00:00:00Z,-3.192639
2014-07-01T00:00:00Z,-3.631048
2014-08-01T00:00:00Z,-2.612097
2014-09-01T00:00:00Z,-0.269306
2014-10-01T00:00:00Z,2.255969
2015-04-01T00:00:00Z,-1.2
2015-05-01T00:00:00Z,-5.485948
2015-06-01T00:00:00Z,-5.372958
2015-07-01T00:00:00Z,-2.684175
2015-08-01T00:00:00Z,-2.147051
2015-09-01T00:00:00Z,-2.05565
2015-10-01T00:00:00Z,1.553962
2015-11-01T00:00:00Z,1.762762
2015-12-01T00:00:00Z,4.511036
2016-01-01T00:00:00Z,5.756065
2016-02-01T00:00:00Z,4.747338
2016-03-01T00:00:00Z,4.004441
2016-04-01T00:00:00Z,-0.914485
2016-05-01T00:00:00Z,-4.98458
2016-07-01T00:00:00Z,-4.640673
2016-08-01T00:00:00Z,-3.127989
2016-09-01T00:00:00Z,-2.367787
2016-10-01T00:00:00Z,6.344959
2016-11-01T00:00:00Z,6.098597
2016-12-01T00:00:00Z,1.102561
2017-01-01T00:00:00Z,3.027591
2017-02-01T00:00:00Z,2.481696
2017-03-01T00:00:00Z,4.631309
2017-04-01T00:00:00Z,3.310709
2017-05-01T00:00:00Z,-2.781092
2017-06-01T00:00:00Z,-1.824965
2017-07-01T00:00:00Z,-4.4375
2017-08-01T00:00:00Z,-2.86648
2017-09-01T00:00:00Z,-1.119847
2017-10-01T00:00:00Z,-0.978221
2017-11-01T00:00:00Z,5.368782
2017-12-01T00:00:00Z,0.656871
2018-01-01T00:00:00Z,5.11621
2018-02-01T00:00:00Z,-1.271624
2018-03-01T00:00:00Z,1.411701
2018-04-01T00:00:00Z,1.157113
