time,species_group,relative_stock_status
1983-01-01T00:00:00Z,Arrowtooth,0.59496474
1984-01-01T00:00:00Z,Arrowtooth,0.6214385
1985-01-01T00:00:00Z,Arrowtooth,0.6591694
1986-01-01T00:00:00Z,Arrowtooth,0.68632174
1987-01-01T00:00:00Z,Arrowtooth,0.7028507
1988-01-01T00:00:00Z,Arrowtooth,0.70081866
1989-01-01T00:00:00Z,Arrowtooth,0.7117023
1990-01-01T00:00:00Z,Arrowtooth,0.70219827
1991-01-01T00:00:00Z,Arrowtooth,0.662591
1992-01-01T00:00:00Z,Arrowtooth,0.64230794
1993-01-01T00:00:00Z,Arrowtooth,0.64098066
1994-01-01T00:00:00Z,Arrowtooth,0.654347
1995-01-01T00:00:00Z,Arrowtooth,0.6820124
1996-01-01T00:00:00Z,Arrowtooth,0.69425315
1997-01-01T00:00:00Z,Arrowtooth,0.6801235
1998-01-01T00:00:00Z,Arrowtooth,0.6698936
1999-01-01T00:00:00Z,Arrowtooth,0.65943956
2000-01-01T00:00:00Z,Arrowtooth,0.60347885
2001-01-01T00:00:00Z,Arrowtooth,0.5584715
2002-01-01T00:00:00Z,Arrowtooth,0.52706206
2003-01-01T00:00:00Z,Arrowtooth,0.55368525
2004-01-01T00:00:00Z,Arrowtooth,0.63527304
2005-01-01T00:00:00Z,Arrowtooth,0.7033226
2006-01-01T00:00:00Z,Arrowtooth,0.754959
2007-01-01T00:00:00Z,Arrowtooth,0.78818005
1876-01-01T00:00:00Z,English sole,1.0
1877-01-01T00:00:00Z,English sole,0.999973
1878-01-01T00:00:00Z,English sole,0.99995
1879-01-01T00:00:00Z,English sole,0.999931
1880-01-01T00:00:00Z,English sole,0.999888
1881-01-01T00:00:00Z,English sole,0.999852
1882-01-01T00:00:00Z,English sole,0.999822
1883-01-01T00:00:00Z,English sole,0.999771
1884-01-01T00:00:00Z,English sole,0.999674
1885-01-01T00:00:00Z,English sole,0.999593
1886-01-01T00:00:00Z,English sole,0.999497
1887-01-01T00:00:00Z,English sole,0.99939
1888-01-01T00:00:00Z,English sole,0.999275
1889-01-01T00:00:00Z,English sole,0.999126
1890-01-01T00:00:00Z,English sole,0.998921
1891-01-01T00:00:00Z,English sole,0.998694
1892-01-01T00:00:00Z,English sole,0.998451
1893-01-01T00:00:00Z,English sole,0.998143
1894-01-01T00:00:00Z,English sole,0.997777
1895-01-01T00:00:00Z,English sole,0.997311
1896-01-01T00:00:00Z,English sole,0.996759
1897-01-01T00:00:00Z,English sole,0.996137
1898-01-01T00:00:00Z,English sole,0.99535
1899-01-01T00:00:00Z,English sole,0.994423
1900-01-01T00:00:00Z,English sole,0.993326
1901-01-01T00:00:00Z,English sole,0.992008
1902-01-01T00:00:00Z,English sole,0.990396
1903-01-01T00:00:00Z,English sole,0.988485
1904-01-01T00:00:00Z,English sole,0.986162
1905-01-01T00:00:00Z,English sole,0.983364
1906-01-01T00:00:00Z,English sole,0.98003
1907-01-01T00:00:00Z,English sole,0.976037
1908-01-01T00:00:00Z,English sole,0.971224
1909-01-01T00:00:00Z,English sole,0.965458
1910-01-01T00:00:00Z,English sole,0.958545
1911-01-01T00:00:00Z,English sole,0.95022
1912-01-01T00:00:00Z,English sole,0.940229
1913-01-01T00:00:00Z,English sole,0.928231
1914-01-01T00:00:00Z,English sole,0.913806
1915-01-01T00:00:00Z,English sole,0.89649
1916-01-01T00:00:00Z,English sole,0.875687
1917-01-01T00:00:00Z,English sole,0.82076
1918-01-01T00:00:00Z,English sole,0.747091
1919-01-01T00:00:00Z,English sole,0.703054
1920-01-01T00:00:00Z,English sole,0.685293
1921-01-01T00:00:00Z,English sole,0.690693
1922-01-01T00:00:00Z,English sole,0.68389
1923-01-01T00:00:00Z,English sole,0.653348
1924-01-01T00:00:00Z,English sole,0.624901
1925-01-01T00:00:00Z,English sole,0.577258
1926-01-01T00:00:00Z,English sole,0.538808
1927-01-01T00:00:00Z,English sole,0.509854
1928-01-01T00:00:00Z,English sole,0.465587
1929-01-01T00:00:00Z,English sole,0.440903
1930-01-01T00:00:00Z,English sole,0.40493
1931-01-01T00:00:00Z,English sole,0.400256
1932-01-01T00:00:00Z,English sole,0.440299
1933-01-01T00:00:00Z,English sole,0.434764
1934-01-01T00:00:00Z,English sole,0.432084
1935-01-01T00:00:00Z,English sole,0.442833
1936-01-01T00:00:00Z,English sole,0.442783
1937-01-01T00:00:00Z,English sole,0.439227
1938-01-01T00:00:00Z,English sole,0.440181
1939-01-01T00:00:00Z,English sole,0.456653
1940-01-01T00:00:00Z,English sole,0.461349
1941-01-01T00:00:00Z,English sole,0.464054
1942-01-01T00:00:00Z,English sole,0.484625
1943-01-01T00:00:00Z,English sole,0.509125
1944-01-01T00:00:00Z,English sole,0.490248
1945-01-01T00:00:00Z,English sole,0.509415
1946-01-01T00:00:00Z,English sole,0.53529
1947-01-01T00:00:00Z,English sole,0.479578
1948-01-01T00:00:00Z,English sole,0.469856
1949-01-01T00:00:00Z,English sole,0.399127
1950-01-01T00:00:00Z,English sole,0.394626
1951-01-01T00:00:00Z,English sole,0.34307
1952-01-01T00:00:00Z,English sole,0.332925
1953-01-01T00:00:00Z,English sole,0.332817
1954-01-01T00:00:00Z,English sole,0.352495
1955-01-01T00:00:00Z,English sole,0.379902
1956-01-01T00:00:00Z,English sole,0.395594
1957-01-01T00:00:00Z,English sole,0.386178
1958-01-01T00:00:00Z,English sole,0.362485
1959-01-01T00:00:00Z,English sole,0.315262
1960-01-01T00:00:00Z,English sole,0.276906
