time,population,abundance_anomaly
2004-01-01T00:00:00Z,California Coast,0.64482856
2005-01-01T00:00:00Z,California Coast,1.5789968
2006-01-01T00:00:00Z,California Coast,-0.5607534
2007-01-01T00:00:00Z,California Coast,-0.37770694
2008-01-01T00:00:00Z,California Coast,-0.36508304
2009-01-01T00:00:00Z,California Coast,0.42391038
2010-01-01T00:00:00Z,California Coast,1.6231804
2011-01-01T00:00:00Z,California Coast,-0.18203656
2012-01-01T00:00:00Z,California Coast,1.799915
2013-01-01T00:00:00Z,California Coast,-1.6716561
2014-01-01T00:00:00Z,California Coast,0.75213164
2015-01-01T00:00:00Z,California Coast,-0.5860012
2016-01-01T00:00:00Z,California Coast,NaN
2017-01-01T00:00:00Z,California Coast,NaN
2018-01-01T00:00:00Z,California Coast,NaN
1978-01-01T00:00:00Z,Klamath Fall,-0.028341185
1979-01-01T00:00:00Z,Klamath Fall,-0.8015508
1980-01-01T00:00:00Z,Klamath Fall,-0.93206817
1981-01-01T00:00:00Z,Klamath Fall,-0.71821845
1982-01-01T00:00:00Z,Klamath Fall,-0.6334103
1983-01-01T00:00:00Z,Klamath Fall,-0.58587193
1984-01-01T00:00:00Z,Klamath Fall,-1.0242347
1985-01-01T00:00:00Z,Klamath Fall,-0.51183105
1986-01-01T00:00:00Z,Klamath Fall,1.5260601
1987-01-01T00:00:00Z,Klamath Fall,1.205722
1988-01-01T00:00:00Z,Klamath Fall,0.83165133
1989-01-01T00:00:00Z,Klamath Fall,-0.14499404
1990-01-01T00:00:00Z,Klamath Fall,-1.0220938
1991-01-01T00:00:00Z,Klamath Fall,-1.137042
1992-01-01T00:00:00Z,Klamath Fall,-1.1109552
1993-01-01T00:00:00Z,Klamath Fall,-0.60973465
1994-01-01T00:00:00Z,Klamath Fall,-0.48701218
1995-01-01T00:00:00Z,Klamath Fall,2.6360912
1996-01-01T00:00:00Z,Klamath Fall,0.5929204
1997-01-01T00:00:00Z,Klamath Fall,-0.16688202
1998-01-01T00:00:00Z,Klamath Fall,-0.023435611
1999-01-01T00:00:00Z,Klamath Fall,-0.83250165
2000-01-01T00:00:00Z,Klamath Fall,2.2346241
2001-01-01T00:00:00Z,Klamath Fall,1.249498
2002-01-01T00:00:00Z,Klamath Fall,0.41538444
2003-01-01T00:00:00Z,Klamath Fall,1.592015
2004-01-01T00:00:00Z,Klamath Fall,-0.54089034
2005-01-01T00:00:00Z,Klamath Fall,-0.38135532
2006-01-01T00:00:00Z,Klamath Fall,-0.48119202
2007-01-01T00:00:00Z,Klamath Fall,0.47570223
2008-01-01T00:00:00Z,Klamath Fall,-0.59100616
2009-01-01T00:00:00Z,Klamath Fall,-0.18315771
2010-01-01T00:00:00Z,Klamath Fall,-0.3649549
2011-01-01T00:00:00Z,Klamath Fall,-0.07762556
2012-01-01T00:00:00Z,Klamath Fall,2.1752377
2013-01-01T00:00:00Z,Klamath Fall,0.07211912
2014-01-01T00:00:00Z,Klamath Fall,1.1130106
2015-01-01T00:00:00Z,Klamath Fall,-0.69919896
2016-01-01T00:00:00Z,Klamath Fall,-1.149888
2017-01-01T00:00:00Z,Klamath Fall,-0.86715245
2018-01-01T00:00:00Z,Klamath Fall,-0.013437391
1974-01-01T00:00:00Z,s.OR-n.CA Coast,0.40421703
1975-01-01T00:00:00Z,s.OR-n.CA Coast,0.29943553
1976-01-01T00:00:00Z,s.OR-n.CA Coast,-0.79541624
1977-01-01T00:00:00Z,s.OR-n.CA Coast,-0.9906438
1978-01-01T00:00:00Z,s.OR-n.CA Coast,2.0086985
1979-01-01T00:00:00Z,s.OR-n.CA Coast,2.2114105
1980-01-01T00:00:00Z,s.OR-n.CA Coast,-0.32499325
1981-01-01T00:00:00Z,s.OR-n.CA Coast,0.15648359
