time,sti,latitude
2005-01-01T00:00:00Z,98.0,42
2006-01-01T00:00:00Z,106.0,42
2007-01-01T00:00:00Z,3.0,42
2008-01-01T00:00:00Z,14.0,42
2009-01-01T00:00:00Z,63.0,42
2010-01-01T00:00:00Z,96.0,42
2011-01-01T00:00:00Z,89.0,42
2012-01-01T00:00:00Z,110.0,42
2013-01-01T00:00:00Z,9.0,42
2014-01-01T00:00:00Z,68.0,42
2015-01-01T00:00:00Z,43.0,42
2016-01-01T00:00:00Z,83.0,42
2017-01-01T00:00:00Z,116.0,42
2018-01-01T00:00:00Z,29.0,42
2019-01-01T00:00:00Z,98.0,42
2020-01-01T00:00:00Z,32.0,42
1967-01-01T00:00:00Z,84.0,45
1968-01-01T00:00:00Z,88.0,45
1969-01-01T00:00:00Z,116.0,45
1970-01-01T00:00:00Z,75.0,45
1971-01-01T00:00:00Z,103.0,45
1972-01-01T00:00:00Z,103.0,45
1973-01-01T00:00:00Z,80.0,45
1974-01-01T00:00:00Z,101.0,45
1975-01-01T00:00:00Z,82.0,45
1976-01-01T00:00:00Z,101.0,45
1977-01-01T00:00:00Z,74.0,45
1978-01-01T00:00:00Z,96.0,45
1979-01-01T00:00:00Z,128.0,45
1980-01-01T00:00:00Z,110.0,45
1981-01-01T00:00:00Z,174.0,45
1982-01-01T00:00:00Z,107.0,45
1983-01-01T00:00:00Z,128.0,45
1984-01-01T00:00:00Z,147.0,45
1985-01-01T00:00:00Z,124.0,45
1986-01-01T00:00:00Z,148.0,45
1987-01-01T00:00:00Z,106.0,45
1988-01-01T00:00:00Z,155.0,45
1989-01-01T00:00:00Z,96.0,45
1990-01-01T00:00:00Z,82.0,45
1991-01-01T00:00:00Z,99.0,45
1992-01-01T00:00:00Z,120.0,45
1993-01-01T00:00:00Z,166.0,45
1994-01-01T00:00:00Z,115.0,45
1995-01-01T00:00:00Z,100.0,45
1996-01-01T00:00:00Z,142.0,45
1997-01-01T00:00:00Z,126.0,45
1998-01-01T00:00:00Z,83.0,45
1999-01-01T00:00:00Z,89.0,45
2000-01-01T00:00:00Z,134.0,45
2001-01-01T00:00:00Z,120.0,45
2002-01-01T00:00:00Z,106.0,45
2003-01-01T00:00:00Z,117.0,45
2004-01-01T00:00:00Z,112.0,45
2005-01-01T00:00:00Z,142.0,45
2006-01-01T00:00:00Z,109.0,45
2007-01-01T00:00:00Z,117.0,45
2008-01-01T00:00:00Z,88.0,45
2009-01-01T00:00:00Z,83.0,45
2010-01-01T00:00:00Z,154.0,45
2011-01-01T00:00:00Z,118.0,45
2012-01-01T00:00:00Z,124.0,45
2013-01-01T00:00:00Z,100.0,45
2014-01-01T00:00:00Z,130.0,45
2015-01-01T00:00:00Z,103.0,45
2016-01-01T00:00:00Z,114.0,45
2017-01-01T00:00:00Z,123.0,45
2018-01-01T00:00:00Z,108.0,45
2019-01-01T00:00:00Z,108.0,45
2020-01-01T00:00:00Z,138.0,45
1967-01-01T00:00:00Z,87.0,48
1968-01-01T00:00:00Z,87.0,48
1969-01-01T00:00:00Z,117.0,48
1970-01-01T00:00:00Z,75.0,48
1971-01-01T00:00:00Z,103.0,48
1972-01-01T00:00:00Z,103.0,48
1973-01-01T00:00:00Z,80.0,48
1974-01-01T00:00:00Z,98.0,48
1975-01-01T00:00:00Z,81.0,48
1976-01-01T00:00:00Z,101.0,48
1977-01-01T00:00:00Z,71.0,48
1978-01-01T00:00:00Z,96.0,48
1979-01-01T00:00:00Z,103.0,48
1980-01-01T00:00:00Z,110.0,48
1981-01-01T00:00:00Z,174.0,48
1982-01-01T00:00:00Z,107.0,48
1983-01-01T00:00:00Z,93.0,48
1984-01-01T00:00:00Z,146.0,48
1985-01-01T00:00:00Z,123.0,48
1986-01-01T00:00:00Z,148.0,48
1987-01-01T00:00:00Z,124.0,48
1988-01-01T00:00:00Z,155.0,48
1989-01-01T00:00:00Z,96.0,48
1990-01-01T00:00:00Z,159.0,48
1991-01-01T00:00:00Z,99.0,48
1992-01-01T00:00:00Z,117.0,48
1993-01-01T00:00:00Z,161.0,48
1994-01-01T00:00:00Z,166.0,48
1995-01-01T00:00:00Z,100.0,48
1996-01-01T00:00:00Z,142.0,48
1997-01-01T00:00:00Z,155.0,48
1998-01-01T00:00:00Z,83.0,48
1999-01-01T00:00:00Z,109.0,48
2000-01-01T00:00:00Z,166.0,48
2001-01-01T00:00:00Z,120.0,48
2002-01-01T00:00:00Z,106.0,48
2003-01-01T00:00:00Z,115.0,48
2004-01-01T00:00:00Z,112.0,48
2005-01-01T00:00:00Z,143.0,48
2006-01-01T00:00:00Z,109.0,48
2007-01-01T00:00:00Z,117.0,48
2008-01-01T00:00:00Z,88.0,48
2009-01-01T00:00:00Z,83.0,48
2010-01-01T00:00:00Z,97.0,48
2011-01-01T00:00:00Z,133.0,48
2012-01-01T00:00:00Z,121.0,48
2013-01-01T00:00:00Z,100.0,48
2014-01-01T00:00:00Z,139.0,48
2015-01-01T00:00:00Z,120.0,48
2016-01-01T00:00:00Z,114.0,48
2017-01-01T00:00:00Z,170.0,48
2018-01-01T00:00:00Z,105.0,48
2019-01-01T00:00:00Z,112.0,48
2020-01-01T00:00:00Z,168.0,48
