time,population,abundance_anomaly
1975-01-01T00:00:00Z,Central Valley Late,0.85012984
1976-01-01T00:00:00Z,Central Valley Late,-0.1447276
1977-01-01T00:00:00Z,Central Valley Late,-0.28676417
1978-01-01T00:00:00Z,Central Valley Late,0.004521054
1979-01-01T00:00:00Z,Central Valley Late,-0.101232424
1980-01-01T00:00:00Z,Central Valley Late,-0.3134446
1981-01-01T00:00:00Z,Central Valley Late,-0.5960028
1982-01-01T00:00:00Z,Central Valley Late,-0.56987274
1983-01-01T00:00:00Z,Central Valley Late,0.30802995
1984-01-01T00:00:00Z,Central Valley Late,-0.53801745
1985-01-01T00:00:00Z,Central Valley Late,-0.36392653
1986-01-01T00:00:00Z,Central Valley Late,-0.39814773
1987-01-01T00:00:00Z,Central Valley Late,0.54347044
1988-01-01T00:00:00Z,Central Valley Late,-0.05356447
1989-01-01T00:00:00Z,Central Valley Late,-0.22165932
1990-01-01T00:00:00Z,Central Valley Late,-0.48539957
1991-01-01T00:00:00Z,Central Valley Late,-0.43408674
1992-01-01T00:00:00Z,Central Valley Late,-0.16806376
1993-01-01T00:00:00Z,Central Valley Late,-1.1767362
1994-01-01T00:00:00Z,Central Valley Late,-1.2169813
1995-01-01T00:00:00Z,Central Valley Late,-1.2692468
1996-01-01T00:00:00Z,Central Valley Late,-1.187327
1997-01-01T00:00:00Z,Central Valley Late,-0.81512207
1998-01-01T00:00:00Z,Central Valley Late,3.4234605
1999-01-01T00:00:00Z,Central Valley Late,1.5747755
2000-01-01T00:00:00Z,Central Valley Late,-0.07235253
2001-01-01T00:00:00Z,Central Valley Late,1.1204054
2002-01-01T00:00:00Z,Central Valley Late,3.380244
2003-01-01T00:00:00Z,Central Valley Late,-0.3495958
2004-01-01T00:00:00Z,Central Valley Late,0.16064478
2005-01-01T00:00:00Z,Central Valley Late,0.347631
2006-01-01T00:00:00Z,Central Valley Late,0.42551616
2007-01-01T00:00:00Z,Central Valley Late,0.1013684
2008-01-01T00:00:00Z,Central Valley Late,-0.13495584
2009-01-01T00:00:00Z,Central Valley Late,-0.18567395
2010-01-01T00:00:00Z,Central Valley Late,-0.25875038
2011-01-01T00:00:00Z,Central Valley Late,-0.46644747
2012-01-01T00:00:00Z,Central Valley Late,-0.6989741
2013-01-01T00:00:00Z,Central Valley Late,-0.32100067
2014-01-01T00:00:00Z,Central Valley Late,0.08227296
2015-01-01T00:00:00Z,Central Valley Late,-0.21438675
2016-01-01T00:00:00Z,Central Valley Late,-0.7615774
2017-01-01T00:00:00Z,Central Valley Late,-0.7798171
2018-01-01T00:00:00Z,Central Valley Late,-1.066239
2019-01-01T00:00:00Z,Central Valley Late,-0.13283768
2001-01-01T00:00:00Z,Central Valley Win,0.5539154
2002-01-01T00:00:00Z,Central Valley Win,0.46729168
2003-01-01T00:00:00Z,Central Valley Win,0.6046646
2004-01-01T00:00:00Z,Central Valley Win,0.19145203
2005-01-01T00:00:00Z,Central Valley Win,2.137642
2006-01-01T00:00:00Z,Central Valley Win,2.592854
2007-01-01T00:00:00Z,Central Valley Win,-0.548787
2008-01-01T00:00:00Z,Central Valley Win,-0.52275616
2009-01-01T00:00:00Z,Central Valley Win,-0.11982461
2010-01-01T00:00:00Z,Central Valley Win,-0.73406553
2011-01-01T00:00:00Z,Central Valley Win,-0.934875
2012-01-01T00:00:00Z,Central Valley Win,-0.52144367
2013-01-01T00:00:00Z,Central Valley Win,0.1557963
2014-01-01T00:00:00Z,Central Valley Win,-0.48622543
2015-01-01T00:00:00Z,Central Valley Win,-0.33441517
2016-01-01T00:00:00Z,Central Valley Win,-0.8720947
2017-01-01T00:00:00Z,Central Valley Win,-0.9670308
