time,variable,value_character,value_type,value_numeric
2017-02-15T00:00:00Z,region,NCA,character,NA
2017-03-15T00:00:00Z,region,NCA,character,NA
2017-04-15T00:00:00Z,region,NCA,character,NA
2017-05-15T00:00:00Z,region,NCA,character,NA
2017-06-15T00:00:00Z,region,NCA,character,NA
2017-07-15T00:00:00Z,region,NCA,character,NA
2017-11-15T00:00:00Z,region,NCA,character,NA
2017-12-15T00:00:00Z,region,NCA,character,NA
2018-01-15T00:00:00Z,region,NCA,character,NA
2018-03-15T00:00:00Z,region,NCA,character,NA
2018-04-15T00:00:00Z,region,NCA,character,NA
2018-05-15T00:00:00Z,region,NCA,character,NA
2018-06-15T00:00:00Z,region,NCA,character,NA
2018-07-15T00:00:00Z,region,NCA,character,NA
2018-08-15T00:00:00Z,region,NCA,character,NA
2018-09-15T00:00:00Z,region,NCA,character,NA
2018-11-15T00:00:00Z,region,NCA,character,NA
2019-03-15T00:00:00Z,region,NCA,character,NA
2019-04-15T00:00:00Z,region,NCA,character,NA
2019-05-15T00:00:00Z,region,NCA,character,NA
2019-06-15T00:00:00Z,region,NCA,character,NA
2019-07-15T00:00:00Z,region,NCA,character,NA
2019-08-15T00:00:00Z,region,NCA,character,NA
2019-10-15T00:00:00Z,region,NCA,character,NA
2020-02-15T00:00:00Z,region,NCA,character,NA
2020-03-15T00:00:00Z,region,NCA,character,NA
2020-04-15T00:00:00Z,region,NCA,character,NA
2020-05-15T00:00:00Z,region,NCA,character,NA
2020-06-15T00:00:00Z,region,NCA,character,NA
2020-07-15T00:00:00Z,region,NCA,character,NA
2020-08-15T00:00:00Z,region,NCA,character,NA
1991-10-15T00:00:00Z,region,OR Coast,character,NA
1991-11-15T00:00:00Z,region,OR Coast,character,NA
1991-12-15T00:00:00Z,region,OR Coast,character,NA
1992-03-15T00:00:00Z,region,OR Coast,character,NA
1992-04-15T00:00:00Z,region,OR Coast,character,NA
1992-05-15T00:00:00Z,region,OR Coast,character,NA
1992-06-15T00:00:00Z,region,OR Coast,character,NA
1992-07-15T00:00:00Z,region,OR Coast,character,NA
1992-08-15T00:00:00Z,region,OR Coast,character,NA
1992-09-15T00:00:00Z,region,OR Coast,character,NA
1992-10-15T00:00:00Z,region,OR Coast,character,NA
1992-11-15T00:00:00Z,region,OR Coast,character,NA
1992-12-15T00:00:00Z,region,OR Coast,character,NA
1993-01-15T00:00:00Z,region,OR Coast,character,NA
1993-02-15T00:00:00Z,region,OR Coast,character,NA
1993-03-15T00:00:00Z,region,OR Coast,character,NA
1993-04-15T00:00:00Z,region,OR Coast,character,NA
1993-05-15T00:00:00Z,region,OR Coast,character,NA
1993-06-15T00:00:00Z,region,OR Coast,character,NA
1993-07-15T00:00:00Z,region,OR Coast,character,NA
1993-08-15T00:00:00Z,region,OR Coast,character,NA
1993-09-15T00:00:00Z,region,OR Coast,character,NA
1993-10-15T00:00:00Z,region,OR Coast,character,NA
1993-11-15T00:00:00Z,region,OR Coast,character,NA
1993-12-15T00:00:00Z,region,OR Coast,character,NA
1994-01-15T00:00:00Z,region,OR Coast,character,NA
1994-02-15T00:00:00Z,region,OR Coast,character,NA
1994-03-15T00:00:00Z,region,OR Coast,character,NA
1994-04-15T00:00:00Z,region,OR Coast,character,NA
1994-05-15T00:00:00Z,region,OR Coast,character,NA
1994-06-15T00:00:00Z,region,OR Coast,character,NA
1994-07-15T00:00:00Z,region,OR Coast,character,NA
1994-08-15T00:00:00Z,region,OR Coast,character,NA
1994-09-15T00:00:00Z,region,OR Coast,character,NA
1994-10-15T00:00:00Z,region,OR Coast,character,NA
1994-12-15T00:00:00Z,region,OR Coast,character,NA
1995-01-15T00:00:00Z,region,OR Coast,character,NA
